t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,reset
0,-2.1672188796858287,0.8036560836371109,-1.4456953313167522,0.5360980651234005,-0.48310218676252276,0.17914573144839693,1.2995121609852351,1.2995121609852351,31.664490844146837,31.664490844146837,29.970913867508415,29.970913867508415,-2.7982999560732624,2.495500836056697,0.0
1,-8.591989699690716,5.795903777537688,-8.055240472242659,6.361986950088927,-3.276311508669305,2.7536470746950044,1.2994230239433693,1.2994230239433693,8.154805826226536,8.154805826226536,15.73065193529467,15.73065193529467,-6.95845000723085,7.089476400502884,0.0
2,-5.130078704890851,2.7575567019086282,7.935826953871079,-6.668685954457718,9.397749846148336,-7.629261806586893,1.295802117746635,1.295802117746635,3.358335883728098,3.358335883728098,4.159741055785161,4.159741055785161,-3.6421476236560664,2.7357353880300677,0.0
3,-7.148945979705587,5.117651753674268,-0.10273158509778568,0.9844512539779657,-0.24157830032642558,0.8193189203348581,1.2706690943806807,1.2706690943806807,2.5887437161620563,2.5887437161620563,3.513160666023172,3.513160666023172,-7.944412907957032,4.811185419562348,0.0
4,-13.44733347591697,3.8719812863353584,-7.398340949732501,-1.2614984463694086,-4.3082167887214835,-0.9478039114892933,1.2563689182715623,1.2563689182715623,2.5452622722124674,2.5452622722124674,3.511695257468131,3.511695257468131,-12.220525589466146,5.06640794433689,0.0
5,-14.296814425815734,5.263445250306054,-1.5317441743006324,1.4463770062683703,1.6214534845717292,1.182650186512598,1.2555463848165715,1.2555463848165715,2.534184609088907,2.534184609088907,3.489601445755776,3.489601445755776,-14.703881932926178,4.586274428907278,0.0
6,-16.048216460372828,4.298565914286577,-1.111957136650336,-0.8726763035058696,0.921578743051249,-0.8568124577375889,1.255271254665978,1.255271254665978,2.525726059591364,2.525726059591364,3.4864010322617927,3.4864010322617927,-16.15211559659912,6.872761050881561,0.0
7,-14.938449495763782,6.397421499198047,1.8633369343989856,2.2357377220635946,2.1190639254860395,1.4552411623650436,1.2550987468961352,1.2550987468961352,2.5256060759993684,2.5256060759993684,3.4860733572157914,3.4860733572157914,-13.832183906470597,4.992499124836722,0.0
8,-13.05905351694503,7.473913747972183,2.7653972387161465,1.490324913798546,1.4094216469553351,0.17202632979481858,1.255097417020126,1.255097417020126,2.5251921702862,2.5251921702862,3.4855859320512224,3.4855859320512224,-13.652984369915853,7.336769466777593,0.0
9,-10.330739392972678,7.707603625659751,3.309706252415711,0.0964960095974905,0.9049634869934168,-0.7410437373195077,1.255087469309508,1.255087469309508,2.525077129412268,2.525077129412268,3.485564732253093,3.485564732253093,-11.862097084220135,8.798835228662893,0.0
10,-13.475795227746733,4.536190829339798,-3.840910870328016,-4.023628386057351,-3.792442377106765,-2.711468225474414,1.2550852158253263,1.2550852158253263,2.5250756759508977,2.5250756759508977,3.485549055564713,3.485549055564713,-12.592015874836301,4.315895269644647,0.0
11,-13.569485594461955,6.173876269962746,-1.051691403910838,1.4485330237582748,0.04548199201480152,2.0606018613607646,1.2550851591598693,1.2550851591598693,2.5250656119526123,2.5250656119526123,3.485541549822301,3.485541549822301,-14.740231677715446,4.541132507685075,0.0
12,-10.294300773269555,4.1418308871399505,4.013483818028108,-1.7516734457132261,2.9725874795243605,-1.0071037191549257,1.2550849336666836,1.2550849336666836,2.5250645305615147,2.5250645305615147,3.4855415142359627,3.4855415142359627,-10.75759449253121,5.836595142707685,0.0
13,-12.842672397176974,2.41338618387268,-2.400075569721853,-2.1444197535185787,-2.500704953925359,-0.6488568454886667,1.2550849146828282,1.2550849146828282,2.5250643536181756,2.5250643536181756,3.4855410470057415,3.4855410470057415,-13.811171570085786,1.741144035436542,0.0
14,-15.1992239111467,2.620250263703921,-3.391798237049949,0.32727029738447655,-1.6207803927449564,1.1708105441413357,1.2550849097677663,1.2550849097677663,2.52506416508722,2.52506416508722,3.485540958745101,3.485540958745101,-15.852574598542805,4.948826240646859,0.0
15,-13.178757796545955,3.764363465047183,2.2445863564842377,1.7679947610088373,2.6110505026958153,1.328203970601579,1.2550849057671851,1.2550849057671851,2.5250641598843133,2.5250641598843133,3.485540954837398,3.485540954837398,-13.605389971570768,4.351322158241469,0.0
16,-12.346519584125272,1.4319978488782938,1.6859195760280241,-2.460351003477296,0.7627106099871892,-1.911956467609203,1.255084905697133,1.255084905697133,2.525064152452347,2.525064152452347,3.4855409447031485,3.4855409447031485,-13.62644335710143,0.7420082109315849,0.0
17,-13.877864633687954,-3.011911518068624,-1.748256908346792,-5.570721826534624,-1.684597193555655,-2.6107812722854913,1.2550849055149824,1.2550849055149824,2.525064149710865,2.525064149710865,3.4855409440341627,3.4855409440341627,-13.354761102954658,-1.2539671770348833,0.0
18,-16.246194223239137,-2.0054797877669515,-3.1736833377793454,1.0115066203968883,-1.533468364137993,2.7498881781875095,1.2550849054602402,1.2550849054602402,2.5250641496975863,2.5250641496975863,3.485540943771851,3.485540943771851,-16.119508047609322,-0.1538179122334613,0.0
19,-13.363241607759324,-2.908638658416852,3.250597272946284,-0.07510926683751862,3.1068902481711875,0.5127285571220725,1.2550849054597126,1.2550849054597126,2.525064149497383,2.525064149497383,3.4855409436010887,3.4855409436010887,-12.167461975871886,-0.96994478756789,0.0
20,-16.896289120038617,0.32112628403572696,-3.3656357101257655,3.9929411172739973,-2.5629013936308,2.5859239182389184,1.2550849054551434,1.2550849054551434,2.5250641494681263,2.5250641494681263,3.4855409435992755,3.4855409435992755,-16.994380401701747,-0.43122768076139073,0.0
21,-13.942546596198405,0.4499877280033111,2.935922456798486,0.5644701031909163,2.6061824007966656,-0.9212172859797034,1.2550849054546085,1.2550849054546085,2.525064149465646,2.525064149465646,3.4855409435904523,3.4855409435904523,-14.50868351661833,-2.3304238587900508,0.0
