n,x1,x2,y1,y2
0,-0.005361050129877772,-0.008551395366112845,22.007569300092264,-16.4215011275545
1,-0.03601052937814405,-0.06404424692168756,-24.35253649987855,-5.829052442943228
2,-0.08794875227948218,-0.17722477965604483,27.575779226684958,34.73025017332954
3,-0.1560169847531244,-0.332470544946215,7.456323344599101,14.210564610771367
4,-0.23405058045467886,-0.5109864886129244,9.770695227358686,31.79942926091528
5,-0.3132984843123386,-0.7123911846323077,19.013685921166797,-3.8804533854516094
6,-0.4089630592055922,-0.9335758171296339,30.89835384973642,-2.5367267143367487
7,-0.5149748803115518,-1.1460470861567578,27.468808952774737,-18.07948520128381
8,-0.6462625327810155,-1.3622279525565366,32.62924902039366,25.2677274900202
9,-0.7887511655771943,-1.599844000758735,-16.58591652244273,11.193447822690128
10,-0.9411676084713856,-1.8357597027904948,8.42212145239062,-2.95542113571783
11,-1.0820622743270314,-2.068449607526564,29.45370625300194,4.3892972165488455
12,-1.1901240474118162,-2.2884692704638847,-15.779067515260822,-33.79523165298064
13,-1.2887687507075027,-2.5022082452752676,25.827412464341542,-3.0618242763600896
14,-1.4031573335423977,-2.7079769068475232,-18.347251894300054,-7.924074885769613
15,-1.563674580441459,-2.905202702952997,-49.78604666556118,7.434547511841765
16,-1.7775741184309206,-3.111193961113577,37.85213677739301,-38.257263860014305
17,-2.024631842723102,-3.3358992683637405,-4.768041140916626,-4.061567970584224
18,-2.29935224869675,-3.591708627812333,-21.09899914377461,-5.171458517019962
19,-2.615621196163906,-3.8961064947165736,26.15574752546295,6.548270980162844
20,-2.9637455186807675,-4.264779385452086,9.973526454436382,-13.753716665272822
21,-3.310694931571185,-4.714585821320981,-14.64812227771284,-44.09714262192774
22,-3.640146648128346,-5.247845725967305,23.0540869743209,-12.417967192576858
23,-3.9335976023017394,-5.870487807886322,-23.399130369063087,-11.287868658182733
24,-4.2048981781831,-6.600113941625613,-6.420939610455877,21.148878265689973
25,-4.471971197191523,-7.457632897627421,-41.852523275220676,-53.63009851023978
26,-4.756634670000482,-8.44306682581722,-27.921387310572264,2.2492588613500235
27,-5.043080772466728,-9.569411974408515,-9.7390748638895,18.5863556756519
28,-5.316244774638841,-10.838183238181818,-34.41409890010873,-21.691971718671
29,-5.585045001885282,-12.248141058124547,-11.50956787171145,20.601039034106158
30,-5.86979236280732,-13.788320833964978,-4.8324150581242264,-18.290917288744737
31,-6.189023055256151,-15.430677378889275,17.741648872166376,-6.761775420559527
32,-6.538996161220681,-17.175379017988092,-6.290685460811063,-28.399091159046513
33,-6.872095481386314,-19.01477854400052,-17.2673464191343,-27.911791975205208
34,-7.188028718769498,-20.94309943910105,-31.702241705274844,-51.53825524016575
35,-7.506178698884523,-22.959142803348104,-52.7131880390248,-56.44937957701411
36,-7.8422076145247415,-25.05781891814881,-12.902008650642076,-49.594141805832464
37,-8.195932767504768,-27.227216932374464,-3.835272595786787,-39.685167309861754
38,-8.571902789020186,-29.46558391771923,0.24330841768940026,-48.096022616616374
39,-8.986709189030778,-31.785361886560956,1.2781010205229517,-36.28911031443935
40,-9.45304464366989,-34.17045064504,-4.590886382858348,-16.076143915037118
41,-9.972743766485864,-36.61430733348536,49.83615816830733,-20.033005849188243
42,-10.53518525460305,-39.10123881373684,28.899921437181085,-52.720670419111386
43,-11.148122185463798,-41.596482304665194,-8.498911611081256,-46.13182371836035
44,-11.805106660321458,-44.10964268843124,-36.71523759743285,-72.54793071282145
45,-12.496910736989989,-46.65876423988567,10.919518808925819,-33.89532070277779
46,-13.203744567820678,-49.25382818466284,24.54115920134371,-65.44744308606661
47,-13.924537394337841,-51.90486282673471,15.656209393456097,-43.214392456974444
48,-14.665120178312405,-54.63452220784209,-32.55178903217142,-15.355545432387487
49,-15.440400658216683,-57.4722859419981,37.48683625743758,-52.244798202907084
50,-16.247032656288987,-60.40959975494054,-73.80353047072776,-26.78423072791361
51,-17.087818779406827,-63.412386960484014,-11.114975510107193,-72.86674209144178
52,-17.959385693835348,-66.47817297927591,-52.388366717057565,-45.76919297820555
53,-18.85767996002014,-69.63644130754952,-13.097692195910962,-73.32678501466218
54,-19.790525065272337,-72.87855685835456,4.095559104379195,-50.786210942609856
55,-20.7817012213023,-76.19605334868814,-71.11856117550275,-124.24891964461662
56,-21.834503907823024,-79.58010806923383,7.446194224215645,-49.21168577713384
