t,x1_100,x2_100,x1_990,x2_990,x1_950,x2_950,x1_925,x2_925,x1_900,x2_900
0,0.9304570638423371,1.0335471493230934,0.9304727660716814,1.0335645883202074,0.9305355802923659,1.0336343501985517,0.9305748434897774,1.0336779561586553,0.9306141100026784,1.0337215658009637
1,0.8928772033442367,0.9660457486052095,0.8934124418341672,0.9664277793940051,0.8956724147398334,0.9680519179720213,0.8971869967801231,0.9691496080229389,0.8987854131381146,0.9703153668121687
2,0.8337380013804682,0.886326125846209,0.8344661878031472,0.8867607397743467,0.8375974916487374,0.8886869046883716,0.8397426496966146,0.890053373283078,0.8420427556015077,0.8915548154255691
3,0.7909706410640428,0.8296566549986892,0.7920895061750737,0.8302605723466995,0.7969572942246294,0.8330077658613702,0.8003360190152878,0.835012162444125,0.803990186117899,0.8372550144136786
4,0.7544062659118005,0.7810377659487578,0.7556886611978731,0.7816012327060349,0.7613272564776831,0.7842645971663823,0.7652873384572594,0.7862834649446115,0.7696037546394261,0.7885952206280034
5,0.7262843136035994,0.7428079668986943,0.7277334709035689,0.7433963987256113,0.7341586304637686,0.7462911141146357,0.7387109845192676,0.7485691608504385,0.743699850843762,0.7512350232164887
6,0.7003021337448004,0.7111577414511335,0.701694810022075,0.7117761577201391,0.7079634549785936,0.7149628797283767,0.7124779076126427,0.7175720082546297,0.7174777021529141,0.7206899844240894
7,0.6807033640697365,0.6853438654908993,0.6819877117773201,0.6858164578024839,0.6879057053182833,0.6885152213905041,0.6922749149797633,0.6909018604082153,0.6971919155779023,0.6938648059757888
8,0.6674057208701705,0.6696325076006175,0.6684739878332938,0.6699957527502469,0.673612139275497,0.6723832710656662,0.6775724818831421,0.6746842775138099,0.6821500540758669,0.6776501133198316
9,0.6621549803041158,0.6591365379554738,0.6629005590870378,0.6592287694611543,0.6668573271446269,0.6606563675179002,0.6701854218925782,0.6624705944355305,0.6742265016292791,0.6650482020906981
10,0.6670329736082037,0.6566652132588326,0.6672907228337586,0.6563337550464539,0.6693517345067067,0.6561993191748944,0.671562338994416,0.657163260467337,0.6745575844456575,0.6590040317883827
11,0.68003819277676,0.6617695333596355,0.6795434427027761,0.6607011404812879,0.6786222585985322,0.6577015691332732,0.679027615842967,0.6569699217001521,0.6802967738016725,0.657211028536539
12,0.7025454782532808,0.6769850725680767,0.7009920121093566,0.674914346151905,0.6957727149140402,0.6679537446194476,0.6934891803335411,0.664846775408998,0.6921174478517087,0.6628427451668643
13,0.7377045486698957,0.703107452287243,0.7349505009950701,0.6997439570444506,0.7248679789052619,0.6876091874379785,0.7195600438438877,0.6813610947949735,0.7152385735228232,0.6763743036720582
14,0.7830528891030406,0.7404043365327575,0.7787398044296593,0.7354083868044351,0.7622537665871295,0.7165942872218113,0.7528956645791571,0.7061699523735234,0.7445739530146633,0.6971153200032084
15,0.8387877065117899,0.7905436694866349,0.832542626884975,0.7837080246349066,0.808074871509127,0.7573181397259038,0.7936466623010857,0.7421345055682796,0.7803149883367673,0.728443275192485
16,0.9062475297019761,0.8524578668151577,0.8977478278103629,0.8435321798029348,0.8639412314182021,0.8084638997381863,0.843578295666461,0.7877690709443996,0.8243921508779013,0.7686647946938203
17,0.9851733508743626,0.9262463349358561,0.9740143344956539,0.9150286000387604,0.9291070626856073,0.8704156698370152,0.9016388862578358,0.8436455606045234,0.8754182005866684,0.8185713813013714
18,1.0768046452005544,1.008998770046918,1.0626543380712943,0.995085731783194,1.0052196551122856,0.9391746160111759,0.9697299627821401,0.9051640859496305,0.9355900212099588,0.8729477491058801
19,1.1797856185706528,1.10064658296233,1.1621958833867638,1.0836514386828306,1.0903021737374308,1.0148188822025144,1.045552302019432,0.9725545657265822,1.0023069961304718,0.9322362587418691
20,1.2938626366411525,1.2014511653232482,1.272366444513636,1.1809910716935057,1.1840119701901006,1.0976277306431086,1.1287294875989773,1.046116188156503,1.0751725948242485,0.9967796628659604
21,1.4184463502498446,1.310770862001791,1.3925341752872427,1.2863957075278492,1.2855614781109674,1.1865932516688844,1.2184014920456787,1.124639043363504,1.1532794938062023,1.0651609583060464
22,1.5541454555615655,1.4288046338386895,1.5233556435249218,1.4000654564063155,1.3958606694870088,1.2819468341316675,1.3156947805649957,1.2084076477344698,1.2380103147784514,1.1377450175843136
23,1.7002107390601129,1.5569286371449442,1.663985053888747,1.5234876187833697,1.513619071336705,1.385714308467433,1.41900859392619,1.2998635138717634,1.327442176309358,1.217442781397821
24,1.856821364283179,1.6951238814791665,1.8146174994030946,1.6565953830733773,1.6391475086670146,1.4975909705673651,1.5287862300030048,1.3985222800339625,1.422204692001218,1.3035729496352044
25,2.0246775846099156,1.8420457617244446,1.9760152534605504,1.797865897506056,1.7735068068508255,1.6152392920774719,1.6463222779378015,1.5014797653994736,1.5238611626922298,1.3926439924037493
26,2.203268925862815,1.9991273599804449,2.1476148986750907,1.948840318257658,1.9159193312193694,1.7407569189997916,1.7707159333221214,1.6112924855377089,1.6313951957718058,1.4877523562534265
27,2.3917238239053007,2.166068812292132,2.328427533716449,2.109103931908138,2.064840190683258,1.8731853469619317,1.900035141692252,1.726610563866248,1.7424877168750927,1.5871326816540852
28,2.5900520017260993,2.343674528312875,2.518445626397668,2.2794725092764225,2.220225082982458,2.01343005409787,2.0342614737940976,1.84845164446507,1.8571896139928048,1.6919668450236438
29,2.7985077771921696,2.5320903346035792,2.7179204038423017,2.460016489451485,2.3823399905267864,2.161196379195463,2.173705181245133,1.9762572390721578,1.975877803948661,1.8014129321953194
30,3.0178807398945047,2.7321902924501784,2.9277011454619197,2.651638586613261,2.552341106888452,2.317572282640779,2.3197682670362623,2.111317526159578,2.1002248155591907,1.9170407246181669
31,3.2473632335909195,2.9439204596734836,3.1468577938813187,2.8542249936008504,2.7287351185907585,2.4821869812342667,2.470583794601174,2.2531044496405563,2.228000045439214,2.0381685364874658
32,3.4867056811779515,3.167818164614291,3.3750978337765885,3.0683239864633354,2.9110547573259296,2.655645117094634,2.6255995712327747,2.4022735958009394,2.3586065231654563,2.165509215514692
