t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-2.654169400387729,-1.8751683179262795,-1.5337974571166233,-1.0836265376583845,8.88576482016229,8.88576482016229,27.821453173531577,27.821453173531577,0.007229652536621988,-0.005060045029693256,0.01380491897107368,-0.009996298766652872,0.008690677327564547,0.004554118577247688,0.0
1,-4.612851546283588,8.995676182738185,-1.1807490133614937,10.915127644728427,8.74205825347645,8.74205825347645,13.742536288043603,13.742536288043603,0.027126426711768778,-0.014602033594562327,0.02809021422519433,-0.011096883131417292,0.021156482517791748,0.0024132650319087087,0.0
2,-7.626856746053768,2.680258294311698,-2.1827684403061927,-1.173243948949648,8.365925972174065,8.365925972174065,9.189591379837285,9.189591379837285,0.06384339684567489,-0.023740021958424423,0.04858262129448391,-0.005482158931880987,0.03657718129552723,0.0017852011073118009,0.0
3,15.541339548221275,-7.780658567606697,11.71995609176442,-6.151510377280978,8.330537712034031,8.330537712034031,7.524268397478502,7.524268397478502,0.12679916754240977,-0.03653942439745296,0.07906997133285024,-0.02188124148492234,0.03742262739163266,-0.008730775136970547,0.0
4,10.064924732916355,-8.623717995400625,2.0345366196494608,-3.005853434281979,8.233176755539837,8.233176755539837,7.848149458957992,7.848149458957989,0.22606752574110425,-0.06085758449619653,0.11971421545076044,-0.030945314209412884,0.045334424089241404,-0.032346707782194145,0.0
5,-0.6736694083834509,-7.698817902352881,-5.461396775750592,-0.7076170832921269,8.051698853963071,8.051698853963071,6.8519990883946695,6.8519990883946695,0.3672942389726424,-0.10757519976421735,0.1616217012037111,-0.05915216108465588,0.038489594455881,-0.02183808819782842,0.0
6,-0.9275489570274225,2.6634913266785656,-4.139614947899419,5.417177040791161,7.752144113669284,7.752144113669284,5.9176786921026325,5.9176786921026325,0.5542231017617231,-0.1780624246837715,0.21516568324927632,-0.08235743076553306,0.041471023739229375,-0.029829439025841148,0.0
7,2.3245755193763395,0.175334650688022,-1.1645602497405356,2.0844044563901365,7.592249624584699,7.592249624584702,5.140814320640027,5.140814320640029,0.7922890406726011,-0.2721394367567132,0.2586051900384562,-0.10599783118822637,0.030509025889525768,-0.017581705833970507,0.0
8,8.374761843840144,-8.748450706364698,1.8236288346029461,-2.7341689803882216,7.398141371797046,7.398141371797049,4.431810630762954,4.431810630762958,1.061599593698145,-0.38774552788687755,0.2883293712143712,-0.12881445847057732,0.058499840378911365,-0.0332636299040481,0.0
9,5.0563886840239105,-7.627945377142517,-0.14903138518914893,-1.5964757258226054,7.229265319199423,7.229265319199426,3.9072032460272363,3.907203246027241,1.3755311793782277,-0.5372944485655043,0.3391469456538106,-0.17059549095521226,0.042748918148020926,-0.04329143267746591,0.0
10,5.66399087812971,-3.145962080691363,0.043791848521685495,0.5486892164973183,7.203903980263302,7.2039039802633,3.545664834207925,3.545664834207929,1.7367361519923996,-0.7233516900173863,0.37976801896761336,-0.1985598541909618,0.019948777547325814,-0.03494944926738718,0.0
11,0.9942352702073602,6.323109596400538,-1.5661497413766656,3.856138723009222,6.956424991339422,6.956424991339425,3.2148641703446446,3.21486417034465,2.1226903319417962,-0.9398507500062575,0.38378625689007945,-0.23913508024302377,-0.031152037328772492,-0.06025417400284721,0.0
12,7.550920924341616,9.297360854275219,1.0336046857090881,4.114517860505719,6.776750906099375,6.7767509060993785,2.920620636789191,2.9206206367891974,2.4897576489392907,-1.1979817667913506,0.3442528137224088,-0.27518206407580303,-0.04443846470158014,-0.0292715582670536,0.0
13,6.7893637240795135,8.39824718339574,0.7087877182165028,3.0063602012250352,6.62928430852136,6.629284308521361,2.6593964082498225,2.6593964082498265,2.808262828420576,-1.4865397509164222,0.29009201638640425,-0.3030265301475132,-0.05606135106178421,-0.03980349024964092,0.0
14,8.470828650996246,-4.67973315563607,1.154376878474232,-1.513894701321541,6.492485379693941,6.492485379693939,2.4238961763939777,2.42389617639398,3.0640394580829224,-1.8071170795706737,0.21726182263064062,-0.3352848010504186,-0.07668763073174847,-0.029655994580254613,0.0
15,4.922877050702915,-0.0694873093688656,0.00764733434332987,0.010244375941375658,6.359980302563822,6.359980302563821,2.2144508596694843,2.214450859669486,3.251373311000781,-2.1533100503017453,0.16306213682418633,-0.351932120202566,-0.04232831480645189,-0.007054297230540723,0.0
16,1.11056205842792,4.6368674972047215,-0.9870419325999173,1.2481020062427761,6.231345764906393,6.2313457649063935,2.030544611574371,2.0305446115743733,3.3929282145742206,-2.5019234550065597,0.1190404873453201,-0.3466146017001073,-0.045708927214520634,-0.029589819567101133,0.0
17,-2.3692590003909935,0.5394637327949894,-1.707248691819221,0.011305434383996227,6.107306253203464,6.1073062532034665,1.8695997833655928,1.8695997833655944,3.491195581599864,-2.864253770537081,0.08260600411665786,-0.37467204905741475,-0.027684039706460183,-0.01686822414502031,0.0
18,-0.26966891244200397,2.398748797272882,-0.952723211036808,0.42298694034307843,5.9886071342186185,5.988607134218619,1.7287880210422872,1.728788021042288,3.5533842440574435,-3.2463386273746035,0.03586141244483222,-0.3890973594426337,-0.0669919184838967,-0.017607384089108426,0.0
19,-1.3907079103703062,1.3007732914481525,-1.0523405924485985,0.11588673242445102,5.875556834437127,5.875556834437127,1.6052235347179662,1.6052235347179655,3.5601570900744033,-3.647763326921537,-0.018684683394753238,-0.4139291103461853,-0.05212176012665925,-0.023087536574917192,0.0
