t,rwm_x1,rwm_x2,cvm_x1,cvm_x2,cam_x1,cam_x2
0,4.66938991007452,4.927370163864068,4.914742453013037,5.094583362042347,5.1775025018801735,5.356792739803503
1,5.202463479430768,5.426701358881056,5.574528362756545,6.012207874787538,5.827878625784975,6.25375128286534
2,5.284945403247589,5.760566349789699,5.711905076400445,6.329069663986523,6.027529879386824,6.738133696031657
3,5.399023241779998,5.811735036828248,5.782666890017973,6.326705389649398,6.198140617182783,6.7647860980763905
4,5.38702303806777,5.742237912186656,5.739533069638915,6.245221878668215,6.20509814094197,6.714034448770341
5,5.401040978993596,5.642942326063294,5.7234594436601585,6.131222332666464,6.187634184719052,6.625861978553063
6,5.485412735369641,5.535964377314279,5.757234755467197,6.01999492017459,6.231760088657946,6.5538994107305255
7,5.454567559655792,5.512696525335558,5.740846332811713,5.947519558416117,6.245795409077901,6.500772961550241
8,5.516889981047167,5.473838915064984,5.798600364456028,5.897661140288996,6.328235651097467,6.461737900732614
9,5.48001337860366,5.398704167759682,5.731573379886426,5.790238252621787,6.266412736997803,6.35269414973932
10,5.465051788238019,5.3541388274881445,5.697707173164104,5.7165684322217665,6.233241564498833,6.278743296514168
11,5.410020805569645,5.295342009867693,5.639893391878209,5.639691056511236,6.1760995572851405,6.193803979341007
12,5.358186365015012,5.245961595561068,5.580921232693183,5.582557671114079,6.095645485584056,6.120262024658891
13,5.294813990809474,5.208174569901648,5.518210460937729,5.5435018226293895,6.02403022541476,6.063634829009027
14,5.262437344082258,5.1411712991500425,5.480139490252916,5.478048488353722,5.9696757011954045,5.978002205867268
15,5.23434917189835,5.083308086186492,5.449262760889461,5.406353359031843,5.919452059862522,5.907299671124803
16,5.20662536013328,5.04877028445912,5.41887694098477,5.352511836493906,5.878576075137071,5.840744169985212
17,5.169042899084068,4.995094254953089,5.377188109765972,5.293543334422351,5.828452449172587,5.7747435540811205
18,5.13861561808752,4.938540669814008,5.339118767652439,5.230941744767897,5.779267813423704,5.698564978305622
19,5.092133624553314,4.878538854229908,5.292719014529095,5.161819613200771,5.723780152735124,5.617646142201271
20,5.034419924232884,4.8194142592598075,5.236326920853207,5.099206125618452,5.659161834698266,5.546750855806121
21,4.978230787357294,4.761089040967765,5.180432710508062,5.038064314690618,5.5943582504026885,5.480713853915352
22,4.939743321487122,4.70232305765174,5.138522335164363,4.979579986653477,5.542352837596793,5.411761598227682
23,4.899296634001968,4.657353911308057,5.0910948796481605,4.931755096313175,5.491840874214926,5.350429175481058
24,4.867994885660722,4.613120698346617,5.055838346197097,4.88194549335334,5.447713759263167,5.296034531626255
25,4.835311861676605,4.576980325187117,5.013041461754332,4.842778432569313,5.399786654866169,5.2509907063869
26,4.788673470218544,4.542465560429999,4.961913214741952,4.803197486122334,5.340533039396252,5.206129197827574
27,4.742996957229776,4.509572194383307,4.912436723469537,4.76248661926272,5.286723594886069,5.157958520506847
28,4.702538017457901,4.4870591702516505,4.86890863562543,4.732163123681159,5.237522343777866,5.115186391769006
29,4.663128495665627,4.463546113223568,4.826558164157409,4.702117228560639,5.189134256449826,5.0757616590923025
30,4.6278639460159825,4.433646913945005,4.788805672711311,4.6639911832899426,5.145362619012486,5.032220828687511
31,4.597674553928417,4.4077636969739755,4.753692297070428,4.630048632157304,5.104516606586401,4.993435595598032
32,4.566637580272825,4.375083899261598,4.7179444477730375,4.594404475067633,5.062901779378637,4.953299559079159
33,4.537695405289361,4.3468714949070835,4.683000119381129,4.562307753434447,5.026980714028572,4.919266809526324
34,4.5153945599120116,4.320082236959423,4.657378527050896,4.533314280651099,4.994313353692597,4.887190709646356
35,4.490514104710587,4.297065178111095,4.628283726164522,4.504008226017261,4.959677548864429,4.855671646571555
36,4.46971951656864,4.276671859257608,4.602348257400576,4.478934754218244,4.926909390306247,4.824242447297167
37,4.450293991758003,4.261009251642823,4.577738995076807,4.455696488205075,4.895989938133119,4.795947917655528
38,4.4305843460139736,4.247256931379626,4.553558350990843,4.432636956560948,4.866076593724968,4.767291310775675
39,4.413732763876905,4.23712881516908,4.532113677621909,4.419020633335481,4.838056455611323,4.747414371797742
40,4.3950770239416315,4.22614322832776,4.509676815385312,4.402180229679254,4.810738750153547,4.724632977444544
41,4.375693879949957,4.210595110351819,4.484502912132544,4.383060176740718,4.782447666643679,4.70250735353255
42,4.360921617692175,4.198709103069191,4.461736990599853,4.366584674945643,4.757450201411513,4.682353808401003
43,4.350006523517539,4.187233443661728,4.4434340109480335,4.350386666762431,4.735061694215616,4.661533599715899
44,4.335342123203325,4.180386839678,4.422847551007257,4.34031210764623,4.710902445200499,4.6467663901848075
45,4.326638473576889,4.172064938292175,4.409116551162047,4.328852200357285,4.691914272600222,4.630372660349333
46,4.320708162643864,4.165911692986154,4.397497071573828,4.320418796375167,4.676383521700793,4.616979687803718
47,4.315341701332501,4.159215470743153,4.385891820898989,4.309929745128844,4.662592406581022,4.6019752046137326
48,4.309989546422119,4.152843812304386,4.374879690376093,4.3000090024916355,4.648318561012658,4.58707304422876
49,4.301683662372863,4.151192152320603,4.362657946438921,4.294694430465084,4.631930658272532,4.576134856870324
50,4.296713449572879,4.15516911556546,4.354772554743845,4.293274247269823,4.617425932239987,4.569402042316073
51,4.293510290365413,4.154563222989282,4.347516078821171,4.286639510706545,4.60626091940957,4.5576930435128595
52,4.291127208332544,4.1541193153096545,4.340167728455979,4.279301202153202,4.5954405447052125,4.546160877951274
53,4.284650535768908,4.149164546664221,4.329059516646291,4.271028402618486,4.58139981521946,4.534487999228675
54,4.27984749486755,4.14719499494165,4.319829902039815,4.265118077622703,4.568595754866212,4.523648284726212
55,4.273510546221533,4.14295067874898,4.310519040309898,4.25692599850876,4.556408785916696,4.511953405892003
56,4.267265987691029,4.133185152755657,4.300303131326912,4.24401806182708,4.542845044878148,4.496057847390961
57,4.258001760372327,4.127973858320176,4.287575832660204,4.233377775936305,4.527974076166164,4.48257165260972
58,4.249213676885553,4.122736695484757,4.277213967392906,4.223022261203912,4.5142461445929,4.469040997965257
59,4.24003004666474,4.112394660319763,4.265802315440953,4.207006311691282,4.500366178577469,4.450910752018616
60,4.227751765131139,4.102506813502571,4.25243375279419,4.1932744825581265,4.4849942826913525,4.434993385862111
61,4.216338899761718,4.0911716646850795,4.239396561341601,4.178453786341605,4.46957765732061,4.416960331589775
62,4.20562778839141,4.0786148307951535,4.227414071125696,4.162214138317093,4.454828645146651,4.39830481186991
63,4.194600184910062,4.064596630491902,4.214881518936003,4.145680176620832,4.440309780657775,4.379862093028165
64,4.18242726092606,4.052872095424168,4.200640386353452,4.131400878641845,4.423852690069559,4.364745160939284
65,4.169429444260597,4.042994708285106,4.186157170215506,4.118683403705564,4.40683459580004,4.350638191218399
66,4.161383077173681,4.0335841314074505,4.174629554731933,4.106051908141775,4.393453754800568,4.336555354329693
67,4.150910645661426,4.025730446756893,4.163119362019216,4.095488921182066,4.380651981784665,4.323597538961834
68,4.139400778163776,4.016699482341495,4.149491695163363,4.085924676364775,4.365411425550201,4.312468916228565
69,4.128075008578764,4.0093693869507945,4.13663638923981,4.075733211416953,4.351071469108298,4.300398350413724
70,4.117693169546356,4.000953696008713,4.1249664092430764,4.066756915790993,4.338902765899943,4.289666157550049
71,4.110114010065252,3.9960608610023796,4.116271240808245,4.061138448700436,4.330136166307796,4.281383589822905
72,4.102927139229102,3.991056189317055,4.109113625074165,4.0540973260887485,4.32152449344414,4.2723992848522405
73,4.096794205666676,3.987533464699374,4.101480426307148,4.048794567026615,4.312686483090497,4.264175377006349
74,4.088346249607675,3.985718980384826,4.091525857823236,4.045620367325566,4.302443467344395,4.25902058206695
75,4.080784750904709,3.9845042218389484,4.083101489243116,4.0421910690423175,4.29300702408992,4.254334650522328
76,4.071750767537266,3.98625449946191,4.072230087098576,4.042315760508464,4.281013456852154,4.252155895504249
77,4.060975116967282,3.9824505230069485,4.060073889718032,4.038840288848638,4.267679778636993,4.2472403318608976
78,4.053793000815592,3.977613921182676,4.050054349650556,4.034174743742988,4.255649114095578,4.24098947702789
79,4.048957751763691,3.975325214851251,4.043868336808261,4.030858575004068,4.248195680143205,4.2355098788582355
80,4.045171262253412,3.9694888474417276,4.03836330980914,4.024287500262558,4.242000543672714,4.227769327894189
81,4.040909806178021,3.9664993435138602,4.032263164451883,4.019339214421305,4.2342778602542746,4.221070000939891
82,4.0359698929446015,3.9604200702239614,4.027099187494415,4.013239673987246,4.22760628519774,4.212414768786449
83,4.030200987062047,3.9534673061860435,4.0215278828928405,4.006218285295475,4.220664478171854,4.2031658070718745
84,4.026746008437263,3.9465890831378063,4.018684921014722,3.9988334224371145,4.215295950538828,4.193790320802442
85,4.0217796491906475,3.9380046326798204,4.014853080682127,3.991912690265128,4.209305546089653,4.184526297038537
86,4.0162458173177695,3.931606023249095,4.00959327807238,3.9852392152305525,4.202179528785036,4.176510224795992
87,4.009549388473935,3.9237573738944684,4.002995708312536,3.977967676575497,4.194574367096745,4.167706955216384
88,4.003799041085095,3.917922249616949,3.9966581671838237,3.972319561382841,4.185796883218251,4.160842198775548
89,3.999965395692612,3.9124076915241064,3.992600968230019,3.967017243940582,4.180041330706608,4.152407666613193
90,3.9955858092554126,3.9087643637702842,3.9882495357060184,3.962272796533963,4.174063118305689,4.145396601467323
91,3.989945258199583,3.9056725981129916,3.9832737987851043,3.9588541715822076,4.167789201779259,4.1396756890524875
92,3.9851830716452463,3.905056610275856,3.9788986238185617,3.95847828490709,4.161358876134389,4.1358561781026735
93,3.9817604700684615,3.9041532883979615,3.9754996858621463,3.956973574336288,4.157012755299318,4.131355586321029
94,3.9786914261790893,3.900968343231266,3.9714748946130327,3.954764973866632,4.1516546542690715,4.126753282930883
95,3.9734613378022794,3.8970202783912247,3.9664758233471007,3.9513762955666176,4.144674043682892,4.121562934870646
96,3.9710886488874917,3.8936928974604132,3.9626075613990372,3.947639530005444,4.138884703504086,4.117453034168141
97,3.968802603017425,3.8942707730127495,3.959521127116073,3.9464021450748406,4.13396704359553,4.114647054565376
98,3.9671762951262686,3.8931526068587607,3.956825018186028,3.944710510301554,4.129662765924274,4.111758677136923
99,3.96428652635375,3.890258300507983,3.953600054068967,3.9415450931829246,4.124450715369161,4.107209755224821
100,3.9609295793621726,3.885890310210959,3.949504992426922,3.9361246186872045,4.1181629996799325,4.100649519968806
101,3.9560723780987335,3.884604298392714,3.9443994453641325,3.9331911486741387,4.111174955572633,4.095864561718902
102,3.9511667477682697,3.8826304065717183,3.9389713307308596,3.9303508731887677,4.104237949990811,4.092420350853498
103,3.946718488031965,3.8803453015026337,3.9338303944144726,3.927397345808412,4.098077894049564,4.089058955802212
104,3.9394613085090087,3.878707941265585,3.9268481379657856,3.925036434236184,4.09017013014416,4.0858489730817
105,3.9329502152803646,3.876792953987398,3.9199977988168913,3.9228235345844946,4.081937756036755,4.082327069757384
106,3.9274605820778357,3.875977462629227,3.913966722987727,3.9207832882578715,4.075089341649607,4.079547837530163
107,3.925077262669562,3.8734734355453058,3.9097511990770033,3.9189762341884586,4.068848990809373,4.076647707896831
108,3.9197468621430924,3.8709185454062043,3.9036168456265377,3.915197076648752,4.06207257173239,4.072532921522077
109,3.9153340299929305,3.868714035963093,3.8993964458294115,3.9126833161493084,4.056535536323854,4.069873982002584
110,3.9111703445050297,3.865473275604202,3.8949185982801713,3.909910842046663,4.051152092154369,4.065675291031053
111,3.9075306531765364,3.8648179696558134,3.8922709492287493,3.909287012206857,4.047480776110332,4.063819814280656
