t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-19.01613826466605,-3.7129601942233674,-12.677425897143143,-2.4753068717832853,-4.225809160607104,-0.8251023937322104,22.11629344994507,22.11629344994507,34.89113659086493,34.89113659086493,30.21661711759779,30.21661711759779,-0.009746559818330133,0.0017054847845369594,-0.023449238724910556,0.005958403925609841,-0.035338977673999995,0.011923968761522291,0.0
1,-24.17812850725786,-23.78039531151265,-7.884282678913458,-19.392672678616186,-0.5694764485934329,-7.348994155898216,22.995256150581465,22.995256150581465,32.540783120045994,32.540783120045994,22.225583963692102,22.225583963692102,-0.04984122065871695,0.016620930903597092,-0.0543250086521619,0.02175560714015497,-0.032782299302173655,0.004759584460235873,0.0
2,-2.4352763883008492,21.88408429094227,16.434424708064817,30.446524734152938,8.488529119709032,13.464535714038055,23.038763473685027,23.038763473685027,26.825724190745145,26.825724190745145,14.824340252064825,14.824340252064825,-0.12255995819906125,0.033498498730322235,-0.0937198036203004,0.007636752684849493,-0.03687334836056014,-0.012152976731872761,0.0
3,2.2077308827046025,24.441195124578513,13.256724546247588,18.7232026711922,4.760685621737959,5.415971814261789,22.534716354960896,22.534716354960896,22.19637971338912,22.19637971338912,10.041769778478775,10.041769778478775,-0.23322496578597526,0.0327999603805075,-0.12608782952887665,-0.012122717522429705,-0.04367321639368649,-0.030698921295918204,0.0
4,-10.575193619558092,11.314868925786833,-0.2172616168721646,1.9665805319094396,-0.3413257672830845,-0.7878594479528482,21.93359701918342,21.93359701918342,18.565440253398865,18.565440253398865,7.000715230985616,7.000715230985616,-0.37654363840280347,0.0021109589718775745,-0.15517052488474803,-0.04939167636190573,-0.003158509682270584,-0.04380340439689903,0.0
5,-0.6071646201105256,-25.436716035974015,5.338583265457491,-20.64491479377524,1.1092483083912643,-6.155993138178222,21.315258859539107,21.315258859539107,15.679635117619414,15.679635117619414,5.027792351655957,5.027792351655957,-0.5327909735641188,-0.0682568312055049,-0.15641517105684577,-0.09173123935717632,-0.004990953379594325,-0.04411305031279401,0.0
6,-16.36709882433793,-8.776507470326642,-4.566011619893523,-6.260084882230675,-1.290896499532704,-1.6797218742756845,20.698834118767497,20.698834118767497,13.377864870004455,13.377864870004455,3.715497306555709,3.715497306555709,-0.690860120257949,-0.19092376054313479,-0.157504999223541,-0.16124060988038214,-0.0049777126585573124,-0.09559238138302824,0.0
7,-12.729690348570367,-28.06807541574443,-1.8081316971984531,-13.51805137330706,-0.5022030552017237,-2.7663526242454557,20.096709341046868,20.096709341046868,11.53453247941097,11.53453247941097,2.818736588501387,2.818736588501387,-0.8488352650179801,-0.39404804135552585,-0.152040889408858,-0.24532076602307434,0.028737452307595297,-0.09570739376505302,0.0
8,-13.928809002237212,-6.147641752313341,-1.9537749131373618,-1.020012377430108,-0.43956590360449027,-0.08484476310799716,19.517838883030745,19.517838883030745,10.047599017579687,10.047599017579687,2.189127418199358,2.189127418199358,-0.9866869621688181,-0.6902418962512448,-0.1293612107259412,-0.3431259527661903,0.019836038449827766,-0.07956847039627257,0.0
9,-17.796083292344413,-13.767526540994911,-3.033899758359018,-3.584866892061195,-0.5418731217968445,-0.48094086337893566,18.967476504924953,18.967476504924953,8.836682963731253,8.836682963731253,1.7355955286071643,1.7355955286071643,-1.11087598294144,-1.0680409371243142,-0.12109356658435179,-0.4102748793760235,0.013346933700336742,-0.062120953090714415,0.0
10,12.698230004371531,-0.21610853594188129,8.161029686094654,1.9682951392618557,1.1748938393055925,0.4016801427292313,18.447877178264946,18.447877178264946,7.8401386641723,7.8401386641723,1.4011202228769142,1.4011202228769142,-1.2335553720264079,-1.5077895254774305,-0.12523488554507647,-0.471211244885884,0.0010142658036595403,-0.06849715228012516,0.0
11,1.0898871005373856,-4.394798511255002,2.8074738553780225,0.33422224006819024,0.2946699940518016,0.12720175028994735,17.959283563538634,17.959283563538634,7.0112820817860815,7.0112820817860815,1.1491658868453318,1.1491658868453318,-1.3495367362154727,-2.0079266257621593,-0.10535465833895843,-0.5240124743055631,0.0017547747898294377,-0.028010906903212222,0.0
