t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,0.6504227988080944,-11.706863790914035,0.32521191432168867,-5.853441163383515,21.952853987138464,21.952853987138464,25.432283366036174,25.432283366036174,-0.009746559818330133,0.0017054847845369594,-0.023449238724910556,0.005958403925609841,-0.035338977673999995,0.011923968761522291,0.0
1,2.171406490456847,6.844269702197554,0.9843008742536625,7.597943150006337,21.36956698385895,21.36956698385895,17.450100784000213,17.450100784000213,-0.04984122065871695,0.016620930903597092,-0.0543250086521619,0.02175560714015497,-0.032782299302173655,0.004759584460235873,0.0
2,8.66361030106074,-10.29909101171604,3.40690544855785,-3.2843103333311916,20.62297085202702,20.62297085202702,12.053927798909863,12.053927798909863,-0.12255995819906125,0.033498498730322235,-0.0937198036203004,0.007636752684849493,-0.03687334836056014,-0.012152976731872761,0.0
3,11.482248548640296,-9.315609722053626,3.1999484866230414,-1.7828681536605748,19.590652925058126,19.590652925058126,8.795879745718652,8.795879745718652,-0.23322496578597526,0.0327999603805075,-0.12608782952887665,-0.012122717522429705,-0.04367321639368649,-0.030698921295918204,0.0
4,35.78538358969847,0.5744667199181226,9.329735544251086,1.6077413413627475,18.572020197956835,18.572020197956835,6.7532240370199395,6.7532240370199395,-0.37654363840280347,0.0021109589718775745,-0.15517052488474803,-0.04939167636190573,-0.003158509682270584,-0.04380340439689903,0.0
5,31.282043448001673,-7.5279670988529395,5.916635956519961,-0.7880956791428437,17.656418871523528,17.656418871523528,5.396635289267729,5.396635289267729,-0.5327909735641188,-0.0682568312055049,-0.15641517105684577,-0.09173123935717632,-0.004990953379594325,-0.04411305031279401,0.0
6,20.911320647491394,-11.454106448475613,2.4253210080589485,-1.4607583827221282,16.854265919955097,16.854265919955097,4.448154083821529,4.448154083821529,-0.690860120257949,-0.19092376054313479,-0.157504999223541,-0.16124060988038214,-0.0049777126585573124,-0.09559238138302824,0.0
7,3.385554359059885,-22.318031411047787,-1.3564351509923562,-3.243141598206763,16.154378200273552,16.154378200273552,3.7564452464731612,3.7564452464731612,-0.8488352650179801,-0.39404804135552585,-0.152040889408858,-0.24532076602307434,0.028737452307595297,-0.09570739376505302,0.0
8,11.22224692373033,-15.847166214194438,0.20634438032010305,-1.5918155799153282,15.541655023957254,15.541655023957254,3.2344570810195843,3.2344570810195843,-0.9866869621688181,-0.6902418962512448,-0.1293612107259412,-0.3431259527661903,0.019836038449827766,-0.07956847039627257,0.0
9,15.385653449404046,-14.13786253217775,0.8165525049242576,-1.0827586786272196,15.002066992647979,15.002066992647979,2.82940945405375,2.82940945405375,-1.11087598294144,-1.0680409371243142,-0.12109356658435179,-0.4102748793760235,0.013346933700336742,-0.062120953090714415,0.0
10,4.163750401013674,-16.710393639644703,-0.883426730461471,-1.2931330230156408,14.523769940444575,14.523769940444575,2.5077905992863307,2.5077905992863307,-1.2335553720264079,-1.5077895254774305,-0.12523488554507647,-0.471211244885884,0.0010142658036595403,-0.06849715228012516,0.0
11,-6.836644317627581,-16.112916254149813,-2.2020699550232825,-1.0467113076972558,14.097072926674075,14.097072926674075,2.2474642826016753,2.2474642826016753,-1.3495367362154727,-2.0079266257621593,-0.10535465833895843,-0.5240124743055631,0.0017547747898294377,-0.028010906903212222,0.0
12,-14.568839192638638,5.649019541632121,-2.871861118399713,1.7157995757848408,13.714114744119325,13.714114744119325,2.033305049921967,2.033305049921967,-1.4515855618825677,-2.5431255895267024,-0.10000212941156937,-0.5414605585470903,-0.003006628769635758,-0.008167191487001246,0.0
13,-13.75356444969548,-7.847807500531303,-2.454473281901862,-0.006286495977783968,13.36851333849379,13.36851333849379,1.8546728087919442,1.8546728087919442,-1.5533068200703422,-3.0921863379283967,-0.10234196673576454,-0.5597971429193122,-0.0013112429366653406,-0.036528380350504375,0.0
14,-8.710563291527485,-4.968774532806284,-1.6572019454648985,0.30053449064400994,13.055061847894702,13.055061847894702,1.7038919212078234,1.7038919212078234,-1.652949890495992,-3.6730349908614373,-0.09378562240958266,-0.6055947388372053,0.02520962678149284,-0.05387093555743,0.0
15,-16.308595200187863,0.09568772926791436,-2.25328917961895,0.7785344580852691,12.769483561522549,12.769483561522549,1.5753023871268341,1.5753023871268341,-1.7300741930974757,-4.298419511790965,-0.05790339883118891,-0.6435349382842844,0.045842735973900456,-0.04213349792244273,0.0
16,-19.485816482856894,-2.164027614364227,-2.3411082827703584,0.48975092966802436,12.508239757795977,12.508239757795977,1.4646492582902493,1.4646492582902493,-1.7568692401599133,-4.967631897699668,0.004856628534137514,-0.6958086417756495,0.05652007314734425,-0.04904078565017035,0.0
17,-23.48706654937468,-1.8126134731200996,-2.4911166233176574,0.4772509900416215,12.268380401384109,12.268380401384109,1.3686787771578959,1.3686787771578959,-1.7256744400528274,-5.685401013399973,0.057704960641875,-0.7393142438180471,0.05661669297853877,-0.04352134368894097,0.0
18,-21.656792817080625,-2.8526651225603166,-2.1187254129674895,0.34649905145537374,12.047428223235674,12.047428223235674,1.2848646590062267,1.2848646590062267,-1.6445794269082736,-6.452819004230097,0.10128558510955671,-0.798235580847245,0.04130944423445405,-0.06218895817218162,0.0
19,-24.812587616417986,-4.719666864928797,-2.204201855696058,0.16405978912674277,11.8432883997601,11.8432883997601,1.2112184986903523,1.2112184986903523,-1.5273543005606132,-7.280474726148026,0.13421256259309416,-0.8658699775755555,0.03784146746847626,-0.09826911842092269,0.0
20,-22.123541703085472,-9.295811213418315,-1.8174370749702795,-0.21060834549840055,11.654177775214913,11.654177775214913,1.1461558593618961,1.1461558593618961,-1.3661838082892934,-8.19192866865532,0.19485351206234966,-0.9518267056572629,0.08022820208231199,-0.059570042567798256,0.0
