t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,16.44121645359352,-25.198186541172646,8.22062124274948,-12.599113219134875,21.952853987138464,21.952853987138464,25.432283366036174,25.432283366036174,-0.007528914886657561,0.009183144047465725,-0.016210009748198865,0.02318069079148212,-0.0022814067050493103,0.0319258887236836,0.0
1,12.560562176217056,-8.184872659420432,1.5506050677243497,3.7227503246028526,21.36956698385895,21.36956698385895,17.450100784000213,17.450100784000213,-0.02299389825053004,0.050823218267014456,-0.011946654772746484,0.06255110633455728,0.022766519224502454,0.0339403206762076,0.0
2,-3.8263878243857903,-3.5949394367029868,-6.339076987776477,4.104173396143557,20.62297085202702,20.62297085202702,12.053927798909863,12.053927798909863,-0.0297568493728069,0.13198656387652632,-0.0030969704993067167,0.10020956109478955,2.1648016341659776e-05,0.028775678733251545,0.0
3,-22.759252974449183,-10.680357020196887,-10.7696692985207,0.16758854050691996,19.590652925058126,19.590652925058126,8.795879745718652,8.795879745718652,-0.0317360133739555,0.24476494352450848,0.004914834032316922,0.12236118134304273,0.03202405735204748,0.012602633676580162,0.0
4,-10.658841947137851,-23.040375856380265,-4.1266572573493,-3.4712726031691754,18.572020197956835,18.572020197956835,6.7532240370199395,6.7532240370199395,-0.009818365837385566,0.3724335836435123,0.03924330424224081,0.13591970001793263,0.026437705905680002,0.02997202324748386,0.0
5,18.22114481165316,-4.413160889423082,4.017226694526658,1.981190791627276,17.656418871523528,17.656418871523528,5.396635289267729,5.396635289267729,0.039700196115629624,0.5247030989782806,0.051821769838674966,0.16687813090826237,-0.023579922916012006,0.016928446985693853,0.0
6,-0.0004968671280103365,20.332533630988397,-0.7498380424168234,6.860929326783875,16.854265919955097,16.854265919955097,4.448154083821529,4.448154083821529,0.07541576820652617,0.7121721445578415,0.01798896386744445,0.21303936188974593,-0.03845294705995486,0.04476569973096972,0.0
7,-6.411298839681762,6.1272782344352095,-1.822881575875198,2.8678049099904865,16.154378200273552,16.154378200273552,3.7564452464731612,3.7564452464731612,0.07246846735338726,0.9516716107278196,-0.022866155189858517,0.270361143625808,-0.040294609645826214,0.0697229650901537,0.0
8,-4.231773819192451,-12.098870616660307,-1.1424951722215573,-0.7180474997516488,15.541655023957254,15.541655023957254,3.2344570810195843,3.2344570810195843,0.028350002461890348,1.2546909790483638,-0.06501856347502312,0.3363641960627664,-0.03580925905237739,0.06998474534684603,0.0
9,2.184498738052488,-21.49020352139396,0.0231224782194559,-2.0555319836243937,15.002066992647979,15.002066992647979,2.82940945405375,2.82940945405375,-0.058898780704944004,1.6259287369425148,-0.11060697951159414,0.40346219585387694,-0.058531423482049684,0.06484342063717852,0.0
