t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,6.621553479859879,-3.1146776250784978,4.41436912145675,-2.076451813499467,1.4714565577509553,-0.6921506910186445,9.267030950193249,9.267030950193249,32.220615073651416,32.220615073651416,29.885284614858175,29.885284614858175,0.0015787075403723941,0.008645727234825522,0.0011078356274419631,0.024909068323580967,-0.004582558095858175,0.027180777473971324,0.0
1,1.988819985771384,-0.818667979343948,-3.051043169110363,0.4399871585823618,-2.111245634012805,0.3931039324784704,9.258534644157672,9.258534644157672,18.02969631231003,18.02969631231003,17.55827674363114,17.55827674363114,-0.0006049447099821012,0.03397047735959785,-0.009794124815023461,0.0187453315257489,-0.03375630676471368,-0.022373162134347084,0.0
2,-8.970549701342318,-5.260914835753717,-7.947780256473837,-5.669357194641895,-2.3645100367367395,-2.9970003185724154,9.03979922116541,9.039799221165408,14.126216871353103,14.126216871353108,10.755491840978113,10.75549184097812,-0.0305770986709753,0.036725723327388424,-0.05075946696056813,-0.015070533238213533,-0.03341768921844607,-0.036106989595189015,0.0
3,-0.4928138639294808,-6.2553479847664715,5.942979485907798,-5.043130064021027,4.117328576095231,-1.960832882417416,8.845083023331224,8.845083023331226,11.299344126636345,11.299344126636353,6.4618235851111505,6.461823585111154,-0.09691034091790789,0.007364494296398709,-0.0831391651851832,-0.04193394898078305,-0.028437912104171112,-0.011938928662287962,0.0
4,3.9742496130400866,8.474349037126816,6.995478832639229,6.191282815465144,2.981512427702217,1.963210972401916,8.612719085301606,8.612719085301599,8.961018273704132,8.96101827370411,4.016449169680839,4.016449169680828,-0.1844024180145084,-0.03705385047752158,-0.08533915485007457,-0.044184910168838826,0.0024150557559864706,-0.0037261660522635073,0.0
5,1.7119957583601924,9.250193644065874,2.720724670135656,3.5752629094135644,0.8909893982952326,0.6192465218844685,8.341054981597184,8.341054981597196,7.203694026993206,7.203694026993221,2.6379149649513147,2.6379149649513187,-0.26275216132466894,-0.08301522608278503,-0.0701783085471248,-0.051716859974158536,0.024434150861589548,-0.019981755693454714,0.0
6,2.12431041738537,-6.609541785396921,2.09842553299041,-7.90695653712786,0.5249883406006299,-2.4329217546513693,8.05783738153835,8.057837381538363,5.909813094137705,5.909813094137715,1.8250463320213803,1.8250463320213817,-0.3169310103173723,-0.15232906036671187,-0.035220374769176846,-0.08594891423583423,0.04616239738077011,-0.0339269684354403,0.0
7,8.74461791457751,-4.928635460751849,4.746284614460189,-5.488295191944109,0.9769912660392139,-1.4550802577684099,7.780917410100038,7.780917410100013,4.94505566142777,4.945055661427751,1.3190720468065626,1.319072046806557,-0.3368969657988036,-0.2474143383326809,-0.004617680521205113,-0.10255294260498915,0.04293286755120978,-0.02082588329482027,0.0
8,6.951938111568465,1.346448932048684,2.746965977223736,-1.2850940784438496,0.42711461055756184,-0.3717633405513663,7.518414603828051,7.518414603828057,4.209985757033208,4.20998575703322,0.9880696779372335,0.9880696779372359,-0.31542422252054453,-0.35955232953290395,0.0509477298554451,-0.12471931992103828,0.061100722986717315,-0.017702764548600328,0.0
9,-6.103191492903332,-1.7887873164569186,-3.380423067081235,-2.5360148570962995,-0.7004469987494032,-0.538387033623557,7.273192430137676,7.27319243013767,3.6374494135014057,3.6374494135014013,0.7621970209435617,0.7621970209435606,-0.22517530859796245,-0.4919189430669999,0.13583351155855472,-0.1456166889918345,0.09840220275843854,-0.035583308300746026,0.0
10,-6.847742061011318,-9.380167884540242,-3.0869588339530565,-4.876175979962989,-0.5541870903909373,-0.8208615823922885,7.045586867453164,7.045586867453207,3.182437318809479,3.1824373188095114,0.6025313880365727,0.6025313880365788,-0.02695370318333143,-0.6610747646758968,0.26859457646138,-0.20023009735043515,0.15467229325338328,-0.07867961198606249,0.0
11,-4.717605039077129,-11.565454186118723,-1.7722770658672808,-4.584479962301578,-0.2871457184850903,-0.6576004181570718,6.834820906523436,6.834820906523463,2.814376515299956,2.8143765152999722,0.48630959984292865,0.4863095998429314,0.3160974446157808,-0.9041647073680021,0.41373956568168924,-0.28937824983309063,0.12537969921117548,-0.1022358216702999,0.0
12,1.1604570765812854,-3.8701366025318666,0.32936870534616824,-1.211316390011496,0.02385845865829972,-0.12182980529696397,6.639678469394142,6.639678469394112,2.512053680133814,2.5120536801337927,0.3996236080961807,0.39962360809617714,0.7895520945584301,-1.2371698947660177,0.5280837415700191,-0.3747290709752246,0.10828283654709533,-0.08566301517992678,0.0
13,2.7606260687810362,-6.679429835882173,0.7988021198492818,-1.7232524795779658,0.08327483068439145,-0.16593841322877356,6.458830030060919,6.458830030060902,2.2604277161586066,2.260427716158595,0.33364647812264553,0.33364647812264386,1.3669426566346914,-1.6538850641573235,0.6251727371111148,-0.4572466280348869,0.09015871177953964,-0.08139886275261622,0.0
14,1.3715456830302069,-7.71604498442557,0.2391203794069221,-1.683397906062189,0.007918145165560858,-0.14270463790466265,6.290982019652695,6.290982019652705,2.048609962727535,2.0486099627275376,0.2825866255319995,0.28258662553199987,2.0318458643354753,-2.1504900032617753,0.7039397771613942,-0.5316720687566896,0.07865072022084425,-0.061452819978149,0.0
15,1.7172242544621166,-7.265625196083016,0.2403769141600428,-1.2032516886788038,0.005323277883425154,-0.07283853205489517,6.1349425615476765,6.134942561547705,1.8685679257471732,1.8685679257471832,0.24253194296010291,0.24253194296010414,2.77999022136736,-2.711317917987246,0.7880713155504108,-0.5898317479960786,0.07792776626880596,-0.07530748540007391,0.0
16,-0.8030420502426958,-8.41918177406615,-0.37971683838747816,-1.2076176963308656,-0.05566177803459575,-0.06346593121413316,5.989645335933241,5.989645335933258,1.7142748973321962,1.7142748973322033,0.2107707978393705,0.21077079783937147,3.606255855695067,-3.3284780864481043,0.8611773080741678,-0.6387559011457855,0.052346039324062274,-0.038643905143327016,0.0
17,4.316591820898466,-13.873967801480402,0.8423680368003914,-2.180777930777267,0.06730388687905353,-0.14788482401978154,5.854153576150062,5.854153576150072,1.5811406018303793,1.5811406018303849,0.18537930864837623,0.18537930864837696,4.498570420890143,-3.9906348709065234,0.9251509889117109,-0.6857036917867425,0.06284022662288002,-0.04520787246577009,0.0
