t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,reset
0,-1.2208997133015658,-1.9049909750120075,-0.8139331469263781,-1.2699939907143591,-0.2713110554190967,-0.42333134029223873,1.2995120526386228,1.2995120526386228,31.634641855405995,31.634641855405995,29.815639708770274,29.815639708770274,0.002838375271999815,-0.00205566008198988,-0.0016754122937967574,-0.011675310593019423,0.0
1,-2.0586436273767803,-1.2293681974414845,-0.9407541784437587,1.093624987711701,-0.20566599953362244,0.8428426451639999,1.2994204675764247,1.2994204675764247,8.062124726903898,8.062124726903898,15.395387384848888,15.395387384848888,0.013389457733820815,-0.010131350242010942,0.017156563933782197,-0.010083745367225106,0.0
2,1.597816723725261,-1.9863580225566655,5.712380064364121,-1.3791247944268774,4.274559096075896,-1.3229297749032638,1.2956657527297606,1.2956657527297606,3.2135644419878737,3.2135644419878737,3.066117839943983,3.066117839943983,0.021508493735682317,-0.018652223036069823,0.006711884076248726,-0.009659431796283634,0.0
3,0.9165432130570821,0.8473017021628966,0.6272918218030235,2.6456904930411462,-0.15828087290425596,1.2098257017414211,1.2651942053043512,1.2651942053043512,2.0173480681053606,2.0173480681053606,1.285491601765571,1.285491601765571,0.03457478836390608,-0.03128175669550177,0.014435689487890178,-0.019129349111556553,0.0
4,0.7062049234991787,-0.25845074049200356,-0.18948890523855766,0.07344803364453867,-0.4015806955160666,-0.18755731501891892,1.2224537044653128,1.2224537044653128,1.4436305216314924,1.4436305216314924,0.6912860292068609,0.6912860292068609,0.04945878542647176,-0.0483587920719497,0.019863301302351585,-0.013584926680986787,0.0
5,0.650912827276082,0.005099295940098669,-0.3511768728673388,0.08918479905851215,-0.3289830253931363,-0.12603533092548694,1.17760912517965,1.17760912517965,1.1058405753381673,1.1058405753381673,0.4243955579347494,0.4243955579347494,0.05441438324923101,-0.06025380083459537,-0.0019681591581681215,-0.01125857137157591,0.0
6,-0.5069276407956076,0.9113422002582174,-1.071063422093658,0.49886992280009906,-0.4291395122929916,0.011225848440971825,1.1343253704169052,1.1343253704169052,0.8846306828269256,0.8846306828269256,0.2834629690718331,0.2834629690718331,0.0451902951497857,-0.07647088311601144,-0.016829737242805443,-0.015748337094684678,0.0
7,-0.059856068748581404,0.47996424075807964,-0.5834570855442167,0.01494706842254001,-0.22546759579908565,-0.0987805239684167,1.0938393895348537,1.0938393895348537,0.7296780790463651,0.7296780790463651,0.20091378299153637,0.20091378299153637,0.025771523835154346,-0.09173822747929748,-0.024193807005656476,-0.0033456476187439955,0.0
8,-1.3591990895996204,0.07054142053438078,-1.091079987439674,-0.25924938260456676,-0.28081522326271535,-0.13319013871695348,1.0564466161630652,1.0564466161630652,0.6159074331401442,0.6159074331401442,0.14894724490370312,0.14894724490370312,0.00855004443269318,-0.09388239745210057,-0.007323317681304849,-0.001963384661362531,0.0
9,-2.2541836158133846,0.15716285805815505,-1.2308101361281352,-0.21950564501701758,-0.2560277284921799,-0.10280706972484534,1.0220753919682535,1.0220753919682535,0.5294177626518692,0.5294177626518692,0.11447742231718344,0.11447742231718344,0.010202566670227156,-0.0943216216585085,0.0003816530795320225,0.001930845903698031,0.0
10,-1.2187582730256823,0.5674113629788978,-0.5771167484059753,-0.06349943319949475,-0.1111801412221031,-0.06159830946118839,0.9905222529252602,0.9905222529252602,0.4619036584249597,0.4619036584249597,0.09071850326294412,0.09071850326294412,0.019028206688548252,-0.10102908689114426,0.015457761064579783,-0.0003107221988643523,0.0
11,-0.6173455459628785,-0.84112082119061,-0.25936065613350445,-0.5818787818182136,-0.04866009010129782,-0.1281769094700511,0.9615517372829652,0.9615517372829652,0.40811912564454617,0.40811912564454617,0.0738822312446437,0.0738822312446437,0.04057153923255703,-0.10389110203297097,0.015262487675337503,-0.007865628744829989,0.0
