t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,x3_real,x4_real,reset
0,-1.2207851811780808,-1.9048122685554403,-0.6103926099181387,-0.9524061644372472,1.2994510978509426,1.2994510978509426,22.370118433578494,22.370118433578494,0.002838375271999815,-0.00205566008198988,-0.0016754122937967574,-0.011675310593019423,0.0
1,-2.05778368943997,-1.2328923206681957,-0.8358592504543064,0.6637536723443231,1.2978250389802217,1.2978250389802217,1.8284767714932066,1.8284767714932066,0.013389457733820815,-0.010131350242010942,0.017156563933782197,-0.010083745367225106,0.0
2,0.8702083138557346,-1.7611711331896134,1.418666376378844,-0.050267048445274076,1.1859007171699083,1.1859007171699083,0.9173385471939254,0.9173385471939254,0.021508493735682317,-0.018652223036069823,0.006711884076248726,-0.009659431796283634,0.0
3,0.9962079520942924,0.23832874143928295,0.865154788517262,0.8274299718781533,1.087217433931866,1.087217433931866,0.5807507341880912,0.5807507341880912,0.03457478836390608,-0.03128175669550177,0.014435689487890178,-0.019129349111556553,0.0
4,1.109099576096403,-0.07029433365111282,0.6145237560796692,0.44893191229402507,1.006707703170456,1.006707703170456,0.4109097324964682,0.4109097324964682,0.04945878542647176,-0.0483587920719497,0.019863301302351585,-0.013584926680986787,0.0
5,1.2002779465716582,0.21554661327970423,0.4718164899074654,0.40445981710684875,0.9407077775541225,0.9407077775541225,0.31082900619275744,0.31082900619275744,0.05441438324923101,-0.06025380083459537,-0.0019681591581681215,-0.01125857137157591,0.0
6,0.5671453607753769,0.8832984997433335,0.21676937360819937,0.46523355275719436,0.8857231935363654,0.8857231935363654,0.24596103370231942,0.24596103370231942,0.0451902951497857,-0.07647088311601144,-0.016829737242805443,-0.015748337094684678,0.0
7,0.730129959608631,0.8257752519043162,0.20600411201864668,0.36060145697016527,0.8391574015351014,0.8391574015351014,0.20109764535359909,0.20109764535359909,0.025771523835154346,-0.09173822747929748,-0.024193807005656476,-0.0033456476187439955,0.0
8,-0.04844753082173159,0.6918507228456128,0.03198787396536584,0.27319828846256583,0.7991427724951924,0.7991427724951924,0.1685753025690155,0.1685753025690155,0.00855004443269318,-0.09388239745210057,-0.007323317681304849,-0.001963384661362531,0.0
9,-0.7181280205044568,0.7738650616804477,-0.0790889319270846,0.2429331324960898,0.7643260807753183,0.7643260807753183,0.1441470446378323,0.1441470446378323,0.010202566670227156,-0.0943216216585085,0.0003816530795320225,0.001930845903698031,0.0
10,-0.3804745442528613,1.0304147357720574,-0.01931481243968177,0.24488617775465354,0.7337100533078114,0.7337100533078114,0.12528597452189782,0.12528597452189782,0.019028206688548252,-0.10102908689114426,0.015457761064579783,-0.0003107221988643523,0.0
11,-0.16226302015071556,0.32875248152644243,0.011850121343810114,0.12069313189861326,0.7065459610574089,0.7065459610574089,0.11040300534716513,0.11040300534716513,0.04057153923255703,-0.10389110203297097,0.015262487675337503,-0.007865628744829989,0.0
12,0.17104680669311623,0.0771197775982298,0.05074768882900316,0.07564061340946816,0.6822616143774598,0.6822616143774598,0.09845327236004074,0.09845327236004074,0.058696532262280714,-0.1110855805321814,0.02416355238830603,-0.013551308917827269,0.0
13,-0.04641755466762054,0.6593986667149139,0.020605111832173492,0.13257833572374306,0.6604125999944026,0.6604125999944026,0.08872399164355693,0.08872399164355693,0.07856998283673673,-0.12550709917915676,0.014903970454393196,-0.006841686179880543,0.0
14,-0.6781096618062621,0.2515512038408225,-0.047906012056025224,0.07581712662563783,0.6406486939992271,0.6406486939992271,0.08071355233818887,0.08071355233818887,0.08580788199821551,-0.14087591297891072,0.0007473797998708512,-0.018734467648050316,0.0
15,-0.06993016561587484,0.8836126189730482,0.016855920642900285,0.13072377328014018,0.6226902900593996,0.6226902900593996,0.07405934449428264,0.07405934449428264,0.08962614609957543,-0.15417636710749483,0.014624987466161591,-0.008565546288793647,0.0
16,0.1936738517173055,1.0800453272786463,0.03986344794197495,0.1368506700492325,0.6063115442368908,0.6063115442368908,0.06849296921144597,0.06849296921144597,0.10791101266546017,-0.1620725577205466,0.017338438193876694,-0.005805184964634147,0.0
17,0.22579914760508668,0.9757044730692512,0.03917866904720763,0.11550670261975354,0.5913281042565756,0.5913281042565756,0.0638115083933356,0.0638115083933356,0.1255183591223302,-0.16716958302936535,0.02426685006441123,-0.00024919999641426563,0.0
18,0.6891152469583344,1.0036317301915842,0.07495677538830041,0.10811893985606702,0.5775880232714947,0.5775880232714947,0.05985856887518386,0.05985856887518386,0.1388968570897656,-0.17171818010216558,0.009308870007469387,-0.007085605501236806,0.0
19,0.14712781528056884,0.4221862261960162,0.02514407983235331,0.0524428133694637,0.5649649232456307,0.5649649232456307,0.05651147083870608,0.05651147083870608,0.15475944612278164,-0.16669766778216016,0.022831550514783975,0.014776551466849027,0.0
20,0.08888891498574808,0.48372902055965383,0.01867498324131888,0.05314881663221712,0.5533527731358086,0.5533527731358086,0.053672409296637975,0.053672409296637975,0.18128385426298382,-0.14637019574293383,0.02537955115211932,0.031036266304614177,0.0
21,0.269050548442652,0.9499654009789407,0.030758097216134567,0.08405777479163525,0.5426618439614938,0.5426618439614938,0.051262248536565094,0.051262248536565094,0.20519769779247235,-0.12172210622527865,0.023450796750605265,0.019902340137451676,0.0
22,0.4154813299592643,1.1265852246411958,0.039134862284911094,0.09076091773642635,0.5328155342923672,0.5328155342923672,0.04921609837088144,0.04921609837088144,0.22515029327047814,-0.09461231768651612,0.020860944629586573,0.027158898958927095,0.0
23,0.20960318357167432,1.2458069443290767,0.02190455563389187,0.09276239654693705,0.5237478488906671,0.5237478488906671,0.04748011732009275,0.04748011732009275,0.2349030348708243,-0.0625669479946627,0.008848512234211875,0.028927073109649287,0.0
24,-0.2539551431711957,1.2057948839928279,-0.011353962076877423,0.08366616738896797,0.5154013747433493,0.5154013747433493,0.04600917250255793,0.04600917250255793,0.24777202281285093,-0.03905144154421422,0.01392477150462401,0.022528328239998712,0.0
25,-0.3460397433641718,1.1691234380381408,-0.016758296222889983,0.07561043182166684,0.507725641724833,0.507725641724833,0.04476510428010772,0.04476510428010772,0.26169500458052636,-0.02314364544248508,0.013969476027168215,0.018500404219321268,0.0
26,-0.4481336544922743,0.617765066481201,-0.022356292484281615,0.03448142582316155,0.5006757855796912,0.5006757855796912,0.04371542151639788,0.04371542151639788,0.2738147231355643,-0.006028888974066154,0.012900216624745579,0.012993038267260018,0.0
27,-0.42438076144274905,0.6225786851718251,-0.01938425204154832,0.03256914041572437,0.49421145268380656,0.49421145268380656,0.04283230576134216,0.04283230576134216,0.2869016889252293,0.018663448065087556,0.012581698429888493,0.04261046373934676,0.0
28,-0.467090340559909,0.4149489279099048,-0.020865229853068885,0.01731836872625763,0.4882959017029292,0.4882959017029292,0.0420918387711442,0.0420918387711442,0.31110625538855763,0.0748574568784886,0.025111616143831783,0.06518983436612007,0.0
29,-0.3740079751106394,0.44763990998341174,-0.013722119954332715,0.018282042126111526,0.482895268550432,0.482895268550432,0.04147339297539992,0.04147339297539992,0.34222927659118957,0.1481205139244223,0.03283319522644729,0.07737625744028524,0.0
30,-0.24596026930850542,0.5998359345129582,-0.0049288158557083545,0.02658808584202914,0.47797796913894014,0.47797796913894014,0.04095914223454871,0.04095914223454871,0.37182281945719853,0.21628358691479466,0.02848932201744312,0.061423869591564206,0.0
