t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real
0,-5.27476148968389,0.8031017176166025,4.938648069071894,4.938648069071894,0.002035097361918049,-0.004632911638200083
1,0.14206176741193932,-2.224564386176595,3.513693828378654,3.513693828378654,0.010222464754774516,-0.031230328841654265
2,1.0240447179039491,-2.371929907744242,2.8749373998611216,2.8749373998611216,0.020437630789220746,-0.08361304971487579
3,-0.32815839846463657,-1.9621400947326317,2.4924762902278617,2.4924762902278617,0.027028510115877858,-0.16150373548519376
4,0.47511099919130273,-1.0359287024187873,2.230884484088313,2.230884484088313,0.034030920683416906,-0.2612249808282371
5,1.0395563688869658,-0.4933643249138776,2.037539166463471,2.037539166463471,0.03696851247347557,-0.3863400577114825
6,1.1766249493959726,-0.07145377937487474,1.8871609160017748,1.8871609160017748,0.02573433829827551,-0.5320005344495359
7,1.1664634367280133,-0.20351934207550362,1.7658971566190795,1.7658971566190795,-0.010415232908002232,-0.6916372596393893
8,1.4173918890079495,-0.17937292250967699,1.6654376061335332,1.6654376061335332,-0.07985887345726178,-0.86162180004248
9,1.0705214786502484,-0.3188502826384187,1.58045461883087,1.58045461883087,-0.18708848168093054,-1.0521473000139305
10,1.2386494210911394,-0.863578379772715,1.5073543629519517,1.5073543629519517,-0.3391552949851537,-1.2658829393515467
11,1.123261860165223,-0.5062777067691036,1.443612848922295,1.443612848922295,-0.5503258278363136,-1.512460728103912
12,0.529537821899732,-0.1899013621915313,1.3873984351699822,1.3873984351699822,-0.8221093196501845,-1.7979581405877176
13,1.0224879293837839,0.13863302143173073,1.337345330462113,1.337345330462113,-1.1514686438371697,-2.1277322423352425
14,0.6667772150428524,-0.32792159891953476,1.2924115395354423,1.2924115395354423,-1.5389816696937144,-2.510416535408183
15,0.40344414884616825,-0.5049170436278432,1.2517864016096523,1.2517864016096523,-1.9884415449545396,-2.9459531384317774
16,0.3189470795700855,-1.0114357229859956,1.2148284786913714,1.2148284786913714,-2.506583724658529,-3.419685585747105
17,-0.06520058336346601,-1.2433858145492875,1.1810226817902039,1.1810226817902039,-3.0995824061951676,-3.9254480709833093
18,-0.36873152553333033,-1.5351962404838653,1.1499499676541396,1.1499499676541396,-3.778619433021904,-4.477465358070369
19,-0.5959160554929446,-1.5520451486314473,1.1212654702037874,1.1212654702037874,-4.542572106805907,-5.086826729487404
20,-1.0732916982046132,-1.6764591615699298,1.0946824254215508,1.0946824254215508,-5.3952154813555016,-5.7569425316597105
21,-1.9545410326184405,-1.8363107797610758,1.0699601589994223,1.0699601589994223,-6.331735908652413,-6.47851237574176
22,-2.2071564764874725,-2.0231627391591043,1.046894976444349,1.046894976444349,-7.352315897466305,-7.247215856896777
23,-2.178101273938586,-1.8128133211460873,1.0253131616342293,1.0253131616342293,-8.459333333754033,-8.052623331507787
24,-2.6028621385013966,-2.016638475662123,1.0050655303430422,1.0050655303430422,-9.647787035482217,-8.898074248403644
25,-2.884296103919786,-2.2936428158424778,0.9860231464031141,0.9860231464031141,-10.911343812170974,-9.78392248980533
26,-3.3046157651348627,-2.747027959024338,0.9680739181302881,0.9680739181302881,-12.250187592062794,-10.694712344510213
27,-3.447720609084236,-2.9267581865660808,0.9511198689250638,0.9511198689250638,-13.660365238480583,-11.624480157790046
28,-4.088501910187604,-3.372653902115151,0.9350749297028219,0.9350749297028219,-15.159454878983135,-12.572212174296642
29,-4.399093621169452,-3.718722537219438,0.9198631391971498,0.9198631391971498,-16.75063747081805,-13.54446557460153
30,-4.687737450125929,-4.0652307914521195,0.9054171659627384,0.9054171659627384,-18.428808958113606,-14.541147287318605
31,-5.153679965197374,-4.502825551777324,0.891677086251591,0.891677086251591,-20.197388436059317,-15.566709678942232
32,-5.773006482723254,-4.9164973821288775,0.8785893670045076,0.8785893670045076,-22.056720362423984,-16.636054164834437
33,-6.252471215192951,-5.412740032122361,0.8661060144744664,0.8661060144744664,-24.00643871605855,-17.755571568839667
34,-6.993520980139396,-5.770194444006504,0.854183857516384,0.854183857516384,-26.054567586240235,-18.931238055282048
35,-7.6287584656766665,-6.267874142449307,0.8427839410711432,0.8427839410711432,-28.196486280579446,-20.16650416926964
36,-8.310917665247873,-6.667351278589705,0.8318710103638689,0.8318710103638689,-30.43251616889356,-21.470084594330277
37,-9.0313960320767,-7.044810166848096,0.8214130702049243,0.8214130702049243,-32.75347228354845,-22.846975103965093
38,-9.707062136487545,-7.472263366807029,0.8113810068023338,0.8113810068023338,-35.15721229239673,-24.305322707317615
39,-10.549962129663104,-7.919967313537818,0.8017482618689966,0.8017482618689966,-37.64503514909376,-25.85486549536713
40,-11.437566105410601,-8.208079069344867,0.7924905506875741,0.7924905506875741,-40.214700248684295,-27.50493695833752
41,-12.170952754984558,-8.618100246128016,0.7835856172929504,0.7835856172929504,-42.874395716807584,-29.254731367590495
42,-12.951727840549236,-9.177613117870436,0.7750130211316387,0.7750130211316387,-45.63239729791046,-31.090609504614818
43,-13.828829407087396,-9.86523309012106,0.7667539505240406,0.7667539505240406,-48.47634583262677,-33.004076093584594
44,-14.581168293174994,-10.328582915024182,0.7587910590384762,0.7587910590384762,-51.39333359705003,-34.98551587346751
45,-15.515777473687557,-10.930226898375015,0.7511083215234965,0.7511083215234965,-54.38376177244362,-37.027820807773594
46,-16.44214675863925,-11.403963479917959,0.7436909070667052,0.7436909070667052,-57.44393210881082,-39.12750139210008
47,-17.22156058442454,-12.052632782073282,0.7365250665771946,0.7365250665771946,-60.569455231130405,-41.27708535576819
48,-17.99352909164094,-12.773437558798374,0.7295980330428312,0.7295980330428312,-63.7551713199029,-43.466147740071506
49,-19.105092144711513,-13.402089973261011,0.7228979328072751,0.7228979328072751,-66.99799872703318,-45.6975151530864
50,-20.149764793318166,-14.24965580013098,0.7164137064561056,0.7164137064561056,-70.28967859275815,-47.957443311376906
51,-21.268622750711494,-14.95045376424246,0.7101350381057681,0.7101350381057681,-73.6338011194193,-50.24229176418279
52,-22.354873649594857,-15.673891085760435,0.7040522920604898,0.7040522920604898,-77.0320416793079,-52.55064032942786
53,-23.54254727661178,-16.400497858634242,0.6981564559466412,0.6981564559466412,-80.47882054504156,-54.87862434526493
54,-24.885340110175036,-17.245345030796276,0.6924390895559549,0.6924390895559549,-83.95627188173262,-57.225770864083
55,-26.101462056963747,-17.921796535671866,0.6868922787323606,0.6868922787323606,-87.455914107995,-59.5892907004598
56,-27.207279437345875,-18.788705455496913,0.6815085937250747,0.6815085937250747,-90.97258273891553,-61.95927979990331
57,-28.460119293064064,-19.589101692796934,0.6762810515055236,0.6762810515055236,-94.51044987873833,-64.32866472704369
58,-29.779085064673932,-20.495993566069252,0.6712030816097964,0.6712030816097964,-98.07183285365281,-66.69573489352213
59,-31.114830619904417,-21.364460062790133,0.6662684951233051,0.6662684951233051,-101.66168880117735,-69.05115625247784
60,-32.56027620266068,-22.10479707092141,0.6614714564716395,0.6614714564716395,-105.28168378038099,-71.38329481367246
61,-33.79981178575964,-22.94981883587525,0.6568064577223894,0.6568064577223894,-108.93846677347712,-73.68443338658078
62,-34.96177223811281,-23.922067379156502,0.652268295137979,0.652268295137979,-112.63485021730932,-75.96735894300053
63,-36.29834326463374,-24.77545612917705,0.6478520477501264,0.6478520477501264,-116.36863873719908,-78.23665211030014
64,-37.61910197584985,-25.67635965536274,0.6435530577530962,0.6435530577530962,-120.13366130029233,-80.48953866029969
65,-38.891445792393135,-26.592864068906902,0.639366912536041,0.639366912536041,-123.93066218481553,-82.72335000279546
66,-40.32119867648429,-27.58517606380047,0.6352894281949064,0.6352894281949064,-127.75644495812418,-84.93891246499896
67,-41.65810565772972,-28.505922359150382,0.6313166343820271,0.6313166343820271,-131.61962603943738,-87.14711466613193
68,-43.162090211578025,-29.34773813497567,0.6274447603670104,0.6274447603670104,-135.52432040026855,-89.35834204929564
69,-44.8460653218629,-30.227847617821062,0.6236702221960863,0.6236702221960863,-139.47144237661155,-91.56897723304984
70,-46.52117244779378,-31.20014121379473,0.6199896108490622,0.6199896108490622,-143.47424556904696,-93.77804364309391
71,-48.00829907639897,-32.32977566915452,0.6163996813035506,0.6163996813035506,-147.5342144300397,-95.99934990069913
72,-49.468757408796236,-33.2264590494802,0.6128973424254522,0.6128973424254522,-151.64587579607021,-98.23780507306562
73,-51.002044950479466,-34.317184573365196,0.6094796476129096,0.6094796476129096,-155.80704649875926,-100.486779716246
74,-52.54580723120359,-35.377463490107225,0.6061437861282435,0.6061437861282435,-160.02448423349097,-102.74785791179114
75,-54.124558651013885,-36.30923131289268,0.6028870750588683,0.6028870750588683,-164.30931467149097,-105.01984363908572
76,-55.81491259013679,-37.30895993429884,0.5997069518539424,0.5997069518539424,-168.66719305349372,-107.29637979159243
77,-57.448511644178055,-38.29118024251251,0.5966009673886452,0.5966009673886452,-173.09588571809272,-109.5768765677515
78,-59.17157626216966,-39.357554045750895,0.5935667795125502,0.5935667795125502,-177.5973877377142,-111.85049332332248
79,-60.916854771191055,-40.39968310528377,0.5906021470426552,0.5906021470426552,-182.16933664589467,-114.10498575942808
80,-62.65313636210836,-41.30801131453823,0.5877049241652941,0.5877049241652941,-186.81553652066458,-116.32439625365116
81,-64.49200598690345,-42.405634026656564,0.5848730552144318,0.5848730552144318,-191.53719914401137,-118.51255983393072
82,-66.24245615582441,-43.45074131933127,0.5821045697967898,0.5821045697967898,-196.3465905241526,-120.66565045325906
83,-68.0552716323452,-44.52356583508339,0.5793975782368945,0.5793975782368945,-201.24376227189222,-122.78474754876989
84,-69.88333679188712,-45.697574754462266,0.5767502673175211,0.5767502673175211,-206.23384853608422,-124.8667811134955
85,-71.72698893673524,-46.86291232822395,0.5741608962931479,0.5741608962931479,-211.3253545472795,-126.92378651673617
86,-73.62218081224943,-47.9361438361497,0.5716277931559729,0.5716277931559729,-216.52351751270095,-128.9716499527558
87,-75.56137733885903,-49.055984888220856,0.5691493511357887,0.5691493511357887,-221.82485402261443,-131.01706715125414
88,-77.50433115642676,-50.220880312686646,0.5667240254165945,0.5667240254165945,-227.23546524391077,-133.05444603892815
89,-79.57033762223898,-51.23864597472855,0.5643503300542498,0.5643503300542498,-232.75597111240492,-135.08479566808109
90,-81.63691675474564,-52.39116191771802,0.5620268350807763,0.5620268350807763,-238.38016548058877,-137.10500907898253
91,-83.60338452967706,-53.42380622912627,0.5597521637820849,0.5597521637820849,-244.1031807797048,-139.11768026540244
92,-85.75305290873244,-54.495414349776674,0.5575249901369781,0.5575249901369781,-249.92917312868585,-141.11927689682827
93,-87.76026421953257,-55.64590992556628,0.5553440364062463,0.5553440364062463,-255.84553191439883,-143.0973643256439
94,-89.87031179444313,-56.792058194773276,0.5532080708615631,0.5532080708615631,-261.85358695477987,-145.05065938948897
95,-91.94922864488474,-57.874481518348276,0.5511159056446898,0.5511159056446898,-267.9543245072093,-146.97718032628305
96,-94.08745270749466,-58.98379398072043,0.5490663947482348,0.5490663947482348,-274.1483691802057,-148.8829182567164
97,-96.38190382298927,-60.11388564784257,0.5470584321098858,0.5470584321098858,-280.4319201774183,-150.76230394421938
98,-98.64636244656087,-61.2530144985464,0.5450909498126435,0.5450909498126435,-286.8004603851687,-152.60781565631393
99,-100.97787344481398,-62.337834918261635,0.5431629163841527,0.5431629163841527,-293.2470938708466,-154.41783384000558
