t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real
0,-5.27476148968389,0.8031017176166025,4.938648069071894,4.938648069071894,0.002035097361918049,-0.004632911638200083
1,0.14207956496913088,-2.2245743339002115,3.5136996006839816,3.5136996006839816,0.010222464754774516,-0.031230328841654265
2,1.0240745531594297,-2.371939561043094,2.8749666090529247,2.8749666090529247,0.020437630789220746,-0.08361304971487579
3,-0.3282217385907473,-1.9621213589149216,2.4925553292711475,2.4925553292711475,0.027028510115877858,-0.16150373548519376
4,0.4751783942073379,-1.035777493929356,2.2310485082308222,2.2310485082308222,0.034030920683416906,-0.2612249808282371
5,1.0397752021380904,-0.4930819050409304,2.0378326826971724,2.0378326826971724,0.03696851247347557,-0.3863400577114825
6,1.1768820026153168,-0.0709979622764883,1.8876386717805196,1.8876386717805196,0.02573433829827551,-0.5320005344495359
7,1.1666800186336617,-0.20322935538737233,1.7666252569511072,1.7666252569511072,-0.010415232908002232,-0.6916372596393893
8,1.4179030948331146,-0.17908448353737885,1.666494838309691,1.666494838309691,-0.07985887345726178,-0.86162180004248
9,1.070331841312487,-0.3188519507900539,1.5819339831907537,1.5819339831907537,-0.18708848168093054,-1.0521473000139305
10,1.2389258497749733,-0.8650339417591505,1.5093648170608105,1.5093648170608105,-0.3391552949851537,-1.2658829393515467
11,1.123088192608222,-0.5062893662211261,1.4462812773145999,1.4462812773145999,-0.5503258278363136,-1.512460728103912
12,0.5264010334073185,-0.18832600709918756,1.3908718594920249,1.3908718594920249,-0.8221093196501845,-1.7979581405877176
13,1.0228616243156705,0.14228398754907556,1.3417933761982381,1.3417933761982381,-1.1514686438371697,-2.1277322423352425
14,0.6640267176743009,-0.32858138676211357,1.2980291757962223,1.2980291757962223,-1.5389816696937144,-2.510416535408183
15,0.3979101584832414,-0.5075230722925079,1.258796969719369,1.258796969719369,-1.9884415449545396,-2.9459531384317774
16,0.31253566902051033,-1.0211317445184085,1.2234870234273854,1.2234870234273854,-2.506583724658529,-3.419685585747105
17,-0.0781724161285497,-1.2567122108936137,1.1916195959045428,1.1916195959045428,-3.0995824061951676,-3.9254480709833093
18,-0.38783122313897267,-1.5543676130078223,1.1628149554960792,1.1628149554960792,-3.778619433021904,-4.477465358070369
19,-0.6203555621430389,-1.5706947936229068,1.1367718295715281,1.1367718295715281,-4.542572106805907,-5.086826729487404
20,-1.1128525703570595,-1.6984409801464113,1.113251637895403,1.113251637895403,-5.3952154813555016,-5.7569425316597105
21,-2.029006119427995,-1.8639176439066079,1.0920667676550777,1.0920667676550777,-6.331735908652413,-6.47851237574176
22,-2.290982568330054,-2.0589590275362872,1.0730717157714929,1.0730717157714929,-7.352315897466305,-7.247215856896777
23,-2.2564128093017946,-1.8341667601254703,1.0561562875549984,1.0561562875549984,-8.459333333754033,-8.052623331507787
24,-2.708904125386667,-2.052002245086567,1.0412402784665127,1.0412402784665127,-9.647787035482217,-8.898074248403644
25,-3.0104858568939696,-2.351755875583983,1.0282692243390033,1.0282692243390033,-10.911343812170974,-9.78392248980533
26,-3.4693343003382613,-2.8499292369026246,1.017210913412898,1.017210913412898,-12.250187592062794,-10.694712344510213
27,-3.6233886823534927,-3.0476375827461215,1.0080524288587474,1.0080524288587474,-13.660365238480583,-11.624480157790046
28,-4.350373404263037,-3.5535735756863875,1.000797544670619,1.000797544670619,-15.159454878983135,-12.572212174296642
29,-4.703736515314091,-3.9516935307206125,0.995464338564687,0.995464338564687,-16.75063747081805,-13.54446557460153
30,-5.038288892274828,-4.358539622835412,0.992082917940643,0.992082917940643,-18.428808958113606,-14.541147287318605
31,-5.599695627423695,-4.887200590610719,0.9906931824741165,0.9906931824741165,-20.197388436059317,-15.566709678942232
32,-6.370650961421597,-5.398752156988079,0.9913425716595861,0.9913425716595861,-22.056720362423984,-16.636054164834437
33,-6.978653973987784,-6.0334188315725585,0.9940837687687961,0.9940837687687961,-24.00643871605855,-17.755571568839667
34,-7.963231306867651,-6.49754813391763,0.9989723545584839,0.9989723545584839,-26.054567586240235,-18.931238055282048
35,-8.82919321383658,-7.177300493453514,1.0060644243215446,1.0060644243215446,-28.196486280579446,-20.16650416926964
36,-9.79607374536978,-7.734998133054711,1.0154141997344661,1.0154141997344661,-30.43251616889356,-21.470084594330277
37,-10.859824616763934,-8.280079067909245,1.027071681407922,1.027071681407922,-32.75347228354845,-22.846975103965093
38,-11.8929294705373,-8.930257521790159,1.0410803981703916,1.0410803981703916,-35.15721229239673,-24.305322707317615
39,-13.261514822105646,-9.643893934481277,1.0574753143295175,1.0574753143295175,-37.64503514909376,-25.85486549536713
40,-14.773001389813846,-10.095418529015047,1.0762809564294251,1.0762809564294251,-40.214700248684295,-27.50493695833752
41,-16.05101851036044,-10.808843929288273,1.0975098169224646,1.0975098169224646,-42.874395716807584,-29.254731367590495
42,-17.489898089109136,-11.869615544802349,1.1211610847634101,1.1211610847634101,-45.63239729791046,-31.090609504614818
43,-19.214489000073513,-13.267219015861306,1.1472197435202884,1.1472197435202884,-48.47634583262677,-33.004076093584594
44,-20.722783344881293,-14.191442769148246,1.175656067404566,1.175656067404566,-51.39333359705003,-34.98551587346751
45,-22.776387196617673,-15.518709226149529,1.2064255354922604,1.2064255354922604,-54.38376177244362,-37.027820807773594
46,-24.903395850912258,-16.552642451918672,1.2394691745913713,1.2394691745913713,-57.44393210881082,-39.12750139210008
47,-26.688083497989172,-18.16100505798658,1.2747143313584717,1.2747143313584717,-60.569455231130405,-41.27708535576819
48,-28.532809326033007,-20.07151139365939,1.3120758635818972,1.3120758635818972,-63.7551713199029,-43.466147740071506
49,-31.64778239422043,-21.735491565349264,1.3514577280960287,1.3514577280960287,-66.99799872703318,-45.6975151530864
50,-34.622811569643225,-24.292178767087705,1.3927549278762041,1.3927549278762041,-70.28967859275815,-47.957443311376906
51,-38.00345420537573,-26.329051777500137,1.4358557633907194,1.4358557633907194,-73.6338011194193,-50.24229176418279
52,-41.34014628565217,-28.530813283829545,1.480644314006804,1.480644314006804,-77.0320416793079,-52.55064032942786
53,-45.25100862465014,-30.807605884665733,1.527003055832429,1.527003055832429,-80.47882054504156,-54.87862434526493
54,-50.043018506937095,-33.74832433010699,1.5748155052729618,1.5748155052729618,-83.95627188173262,-57.225770864083
55,-54.18670397973524,-35.788479051027565,1.6239687656631867,1.6239687656631867,-87.455914107995,-59.5892907004598
56,-57.71203084575663,-39.01763839050086,1.6743558503864169,1.6743558503864169,-90.97258273891553,-61.95927979990331
57,-62.23696195536276,-41.820233580358575,1.7258776620328105,1.7258776620328105,-94.51044987873833,-64.32866472704369
58,-67.22359811284545,-45.3745744521811,1.7784445243055473,1.7784445243055473,-98.07183285365281,-66.69573489352213
59,-72.29553252278431,-48.60063965637845,1.8319771909381886,1.8319771909381886,-101.66168880117735,-69.05115625247784
60,-78.18957119234842,-50.74493885725941,1.8864072915960215,1.8864072915960215,-105.28168378038099,-71.38329481367246
61,-82.14120998205509,-53.81082178685137,1.9416772149630634,1.9416772149630634,-108.93846677347712,-73.68443338658078
62,-85.32381003242062,-58.00437707679961,1.9977394694580934,1.9977394694580934,-112.63485021730932,-75.96735894300053
63,-90.26266324561776,-60.83248943632814,2.0545555976129286,2.0545555976129286,-116.36863873719908,-78.23665211030014
64,-94.85934964438074,-64.10223056306585,2.1120947470258913,2.1120947470258913,-120.13366130029233,-80.48953866029969
65,-98.7352673738929,-67.42282378104912,2.170332016181625,2.170332016181625,-123.93066218481553,-82.72335000279546
66,-104.44433202344104,-71.52517208077752,2.2292466962061264,2.2292466962061264,-127.75644495812418,-84.93891246499896
67,-108.57982377247087,-74.41996492436233,2.28882052050798,2.28882052050798,-131.61962603943738,-87.14711466613193
68,-114.88899659044101,-76.08487804603854,2.349036015539553,2.349036015539553,-135.52432040026855,-89.35834204929564
69,-123.3697038818311,-78.36846086623363,2.409875021002295,2.409875021002295,-139.47144237661155,-91.56897723304984
70,-130.80192905715148,-82.05635945545322,2.4713174205961317,2.4713174205961317,-143.47424556904696,-93.77804364309391
71,-134.28545727434408,-88.08188873530425,2.533340098556838,2.533340098556838,-147.5342144300397,-95.99934990069913
72,-137.22896477157448,-89.13972344649952,2.595916115663233,2.595916115663233,-151.64587579607021,-98.23780507306562
73,-141.5932396583292,-94.08718148179709,2.6590140829388615,2.6590140829388615,-155.80704649875926,-100.486779716246
74,-145.87836567083613,-97.75651600402325,2.7225977025085184,2.7225977025085184,-160.02448423349097,-102.74785791179114
75,-150.61687609362951,-98.28729086599208,2.786625442496132,2.786625442496132,-164.30931467149097,-105.01984363908572
76,-157.44744683119276,-100.73084623188922,2.8510503151846023,2.8510503151846023,-168.66719305349372,-107.29637979159243
77,-161.9052815394573,-102.62417406417335,2.915819733231639,2.915819733231639,-173.09588571809272,-109.5768765677515
78,-168.23479176584127,-106.65279471785489,2.980875425873004,2.980875425873004,-177.5973877377142,-111.85049332332248
79,-174.18248248043923,-109.3980238496483,3.0461534043494627,3.0461534043494627,-182.16933664589467,-114.10498575942808
80,-178.98753427763933,-108.13815928642047,3.1115839723016436,3.1115839723016436,-186.81553652066458,-116.32439625365116
81,-186.27769640161765,-113.54344488762382,3.177091782075538,3.177091782075538,-191.53719914401137,-118.51255983393072
82,-189.3741227692172,-116.05432744084109,3.242595941632389,3.242595941632389,-196.3465905241526,-120.66565045325906
83,-194.56998001790265,-119.24556252132791,3.308010179168328,3.308010179168328,-201.24376227189222,-122.78474754876989
84,-199.5200136667001,-125.39554511803354,3.3732430738441868,3.3732430738441868,-206.23384853608422,-124.8667811134955
85,-204.33251253610598,-129.49799338968225,3.438198361439617,3.438198361439617,-211.3253545472795,-126.92378651673617
86,-210.41519881222882,-129.24128811789834,3.5027753234638013,3.5027753234638013,-216.52351751270095,-128.9716499527558
87,-216.9638666958459,-131.84725143316294,3.566869267392526,3.566869267392526,-221.82485402261443,-131.01706715125414
88,-222.14868136297156,-136.00300469300268,3.6303721043076655,3.6303721043076655,-227.23546524391077,-133.05444603892815
89,-231.71107805337704,-132.7881538243338,3.693173028295283,3.693173028295283,-232.75597111240492,-135.08479566808109
90,-238.1522771777402,-138.24074352089002,3.755159299498205,3.755159299498205,-238.38016548058877,-137.10500907898253
91,-238.37894174122522,-136.22812686769527,3.816217129708409,3.816217129708409,-244.1031807797048,-139.11768026540244
92,-249.2689445344675,-138.26180502264577,3.8762326658382804,3.8762326658382804,-249.92917312868585,-141.11927689682827
93,-248.7685314386979,-144.14283880089948,3.9350930625822316,3.9350930625822316,-255.84553191439883,-143.0973643256439
94,-256.0118487383446,-147.41446075494525,3.9926876311767456,3.9926876311767456,-261.85358695477987,-145.05065938948897
95,-259.27399550007254,-146.41259296064328,4.04890904655128,4.04890904655128,-267.9543245072093,-146.97718032628305
96,-266.00286366136413,-148.73828958037137,4.103654590557864,4.103654590557864,-274.1483691802057,-148.8829182567164
97,-279.6557733507565,-151.9512576838091,4.156827404651481,4.156827404651481,-280.4319201774183,-150.76230394421938
98,-284.79700673177354,-154.7911312813595,4.2083377216862194,4.2083377216862194,-286.8004603851687,-152.60781565631393
99,-293.07775000352694,-153.62181925017802,4.258104043733686,4.258104043733686,-293.2470938708466,-154.41783384000558
