t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-9.811449258038301,4.1687186716160625,-6.54096637188839,2.779145865995716,-2.1803223965030503,0.9263820711296441,8.689266697072306,8.689266697072306,32.14898355294501,32.14898355294501,29.87671191786914,29.87671191786914,0.001750348642988057,-0.0032713196432725238,0.004787197601190703,-0.017438921279011498,0.011135337256212,-0.04352547211022684,0.0
1,3.4302047318109317,-15.438908629304976,16.29143179241227,-24.357123562089818,8.931636113312234,-11.635172625346174,8.681087558023965,8.681087558023965,17.40937516058218,17.409375160582183,17.402888765827637,17.40288876582764,0.007365656877570823,-0.05118948511502294,0.0049054984102361796,-0.08357881526269931,-0.0017717552895062261,-0.09032068559211032,0.0
2,5.310546178108991,1.547170965971124,4.9053324540303045,10.857984143077008,-0.5502514775629948,9.202233304949749,8.489105726113552,8.489105726113555,13.686761085302809,13.686761085302814,10.590524373324813,10.590524373324817,0.004255383906987988,-0.17886244415655048,-0.015395896660314762,-0.16913415817975735,-0.01719851938570205,-0.07874712164661866,0.0
3,7.241667665880679,-4.126809272704434,2.088075115779475,1.0811358787136705,-1.4463396767693393,1.6220748316315348,8.326304560594703,8.326304560594714,11.022260229859254,11.02226022985928,6.403264102904422,6.403264102904437,-0.020989960342018336,-0.38644592902219865,-0.04190156796727858,-0.24812428661645464,-0.04474984775564671,-0.0881438138388908,0.0
4,9.022545990097143,-5.160288302042092,0.7859823647224013,0.27416513009379173,-1.4208354797567546,0.779755708748251,8.135038633304442,8.135038633304442,8.831436365493827,8.831436365493825,4.036372446458406,4.0363724464584045,-0.09481436013207704,-0.6741579759939725,-0.10748139593224063,-0.32791145835829155,-0.06802375475783906,-0.08410073238116139,0.0
5,8.01695321727288,-4.190726769378408,-1.1085313625836757,1.2201333164989698,-1.5228304348467283,0.8206190340804032,7.901382155780663,7.90138215578065,7.117027049908499,7.117027049908481,2.661604318136359,2.66160431813635,-0.22708911375822843,-1.042250228774145,-0.1526995287452457,-0.4048968271645921,-0.025473199179793293,-0.07488797598078388,0.0
6,3.9417618926152205,-1.4162550683724078,-3.9924352965354135,2.6437457451942272,-1.8678391562493104,0.96057389175213,7.657931565996622,7.657931565996603,5.870681001103016,5.8706810011029855,1.8574163971095892,1.8574163971095767,-0.38758532264557394,-1.4919037873363068,-0.17008751343784292,-0.5037214711578115,-0.019603786841827203,-0.12816643197148883,0.0
7,0.0684951469801085,-2.932678619353222,-5.141361930684239,1.0595730393810392,-1.6925205501103133,0.39069824858944724,7.417647467493368,7.417647467493383,4.943757256208755,4.943757256208766,1.3542522520308924,1.3542522520308926,-0.565638879615283,-2.0633683042883098,-0.18407251982815392,-0.6401401487036599,-0.015741488614103762,-0.14555258591089104,0.0
8,2.095834001116774,-14.980836538283075,-3.060276093685742,-4.720444115653898,-0.9547392300791779,-0.8066066888822858,7.183117957977424,7.183117957977443,4.201514709747149,4.201514709747164,1.0124468003345632,1.0124468003345646,-0.7558054885037082,-2.7815238129205597,-0.19210552616076568,-0.8008946804462244,0.0046636287508873345,-0.17537039132768367,0.0
9,-1.4280650737997007,-7.36707540464397,-4.016630458267654,-0.16596509611687793,-0.9559885754645645,0.13216944782297357,6.96329961595098,6.963299615950976,3.62613710753112,3.626137107531106,0.7801547968323582,0.7801547968323531,-0.9467836715635654,-3.6744794452804883,-0.1935598821258107,-0.9833424351501407,-0.015458509632413759,-0.15727243141519995,0.0
