t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-8.474554172511118,2.50219362351812,-5.649702954303888,1.6681291333160226,-1.8832345535055752,0.556043113944052,8.796178989558944,8.796178989558944,32.16190280471388,32.16190280471388,29.878256835866715,29.878256835866715,0.001750348642988057,-0.0032713196432725238,0.004787197601190703,-0.017438921279011498,0.011135337256212,-0.04352547211022684,0.0
1,4.080749365060728,-11.496338934334355,16.172448350575646,-18.257027911377907,8.753804952269991,-8.73387795160891,8.78800635074,8.788006350739998,17.538698755197938,17.538698755197945,17.436563123844923,17.43656312384493,0.007365656877570823,-0.05118948511502294,0.0049054984102361796,-0.08357881526269931,-0.0017717552895062261,-0.09032068559211032,0.0
2,7.339163441839304,-1.4575302916701398,6.544107817841571,7.559971300705895,0.12266153753942888,7.520401914310175,8.656650347925638,8.656650347925638,14.753502921279733,14.753502921279738,11.688877482776363,11.688877482776366,0.004255383906987988,-0.17886244415655048,-0.015395896660314762,-0.16913415817975735,-0.01719851938570205,-0.07874712164661866,0.0
3,8.638209901964029,-2.979475179490679,2.769303856682182,2.5020085128690024,-1.2782143770325476,2.2716429814589567,8.520299319629492,8.520299319629501,11.875912351335385,11.875912351335424,7.056501690512019,7.05650169051204,-0.020989960342018336,-0.38644592902219865,-0.04190156796727858,-0.24812428661645464,-0.04474984775564671,-0.0881438138388908,0.0
4,6.047471659074665,-8.302995497548592,-1.8664066762090847,-2.0544075230709637,-2.362383096267588,0.005436307873802448,8.249150076457035,8.249150076457038,9.067917875076475,9.067917875076482,4.163962926938912,4.163962926938913,-0.09481436013207704,-0.6741579759939725,-0.10748139593224063,-0.32791145835829155,-0.06802375475783906,-0.08410073238116139,0.0
5,6.425854777470085,-6.137930977574523,-1.9984514662618806,0.26860056886569694,-1.7448192805509415,0.5982955916371582,8.14965419239734,8.149654192397339,7.624325068016362,7.624325068016362,2.906744180667972,2.9067441806679684,-0.22708911375822843,-1.042250228774145,-0.1526995287452457,-0.4048968271645921,-0.025473199179793293,-0.07488797598078388,0.0
6,0.8524470530274151,-3.2473651041045066,-5.793629436007797,1.7610309023257713,-2.3122151302461376,0.7624793288893272,7.7633074763038055,7.763307476303803,6.011892108166293,6.011892108166293,1.9098916417032832,1.909891641703281,-0.38758532264557394,-1.4919037873363068,-0.17008751343784292,-0.5037214711578115,-0.019603786841827203,-0.12816643197148883,0.0
7,-3.58036325092214,-0.992405224489243,-6.897365505316149,2.2377921881544154,-2.06017422398599,0.6642491113281626,7.508851307018901,7.508851307018916,5.021267014157089,5.021267014157092,1.3769004095625483,1.376900409562546,-0.565638879615283,-2.0633683042883098,-0.18407251982815392,-0.6401401487036599,-0.015741488614103762,-0.14555258591089104,0.0
8,1.5128110018664103,-16.021481526790886,-3.0558159926051953,-5.253970543280886,-0.9276765860011262,-0.9162228914149848,7.263184160806764,7.263184160806773,4.241368996551556,4.241368996551562,1.0211811019692967,1.0211811019692965,-0.7558054885037082,-2.7815238129205597,-0.19210552616076568,-0.8008946804462244,0.0046636287508873345,-0.17537039132768367,0.0
9,-2.4171424764550444,-11.552926573196736,-4.296235686410814,-1.907940886985056,-0.993950988087926,-0.17141540407319944,7.036548690956426,7.036548690956444,3.653224327173154,3.6532243271731617,0.7848576098547967,0.7848576098547966,-0.9467836715635654,-3.6744794452804883,-0.1935598821258107,-0.9833424351501407,-0.015458509632413759,-0.15727243141519995,0.0
10,-11.012531997430393,-10.093546092837137,-6.701593969291682,-0.8031025727915981,-1.2145946961128957,0.028063846757207855,6.824218635081933,6.824218635081947,3.187363675553906,3.1873636755539123,0.6183697636448224,0.6183697636448227,-1.1470357931165795,-4.747303169535502,-0.20823031860415836,-1.1694750288251765,-0.029426345563918533,-0.19236198797927279,0.0
11,-10.345745093960328,-2.3135714942162764,-5.190174840758667,2.0559943557396387,-0.822159746198821,0.42828663922651256,6.627777359709572,6.6277773597096035,2.814402255519433,2.814402255519452,0.4981558765765209,0.4981558765765233,-1.366271564683165,-5.999359455349953,-0.2286203963041757,-1.3319508297930764,-0.011611266899512293,-0.16555657296072515,0.0
12,-15.078446651497508,-7.145592718449265,-5.712714979285542,0.22708490665598902,-0.780652447671971,0.12762645539342987,6.4455992386269125,6.445599238626936,2.509533631528663,2.5095336315286683,0.40878583256630735,0.4087858325663073,-1.6067765709713937,-7.413060722928849,-0.26151011797586826,-1.4976489108392568,-0.047292092667089586,-0.16293684161736613,0.0
13,-5.5092139242946825,-3.055593731274932,-1.8778680076722694,1.44075461442133,-0.21045448044880033,0.25993062738006545,6.276766135669681,6.276766135669681,2.2569402312224875,2.2569402312224813,0.3409661518442518,0.3409661518442501,-1.8872780624611103,-8.985205133968622,-0.2980943618176961,-1.64321911951216,-0.03575076192852024,-0.13102710575114865,0.0
