t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,x5_real,x6_real,reset
0,-0.7676659239779983,1.0295769082740664,-0.5117772982896386,0.6863846264889071,-0.17059245408726564,0.22879490409566094,8.796178989558944,8.796178989558944,32.16190280471388,32.16190280471388,29.878256835866715,29.878256835866715,-0.00318576187511128,-0.003062687208254285,-0.011912610027793157,-0.012125605524045407,-0.028857623291892398,-0.030303011498013937,0.0
1,-10.610766707440115,-1.2528379259583367,-12.258634081939341,-2.896579605678159,-5.38239397947598,-1.4808587684575214,8.819625157903056,8.819625157903056,18.820316306100388,18.820316306100388,19.327839533818445,19.32783953381844,-0.039804256252949616,-0.03527999754711773,-0.06280847428634413,-0.05106232669581779,-0.0472687007104889,-0.02612414030129442,0.0
2,-3.314504803097858,1.8263624640681044,4.586553956831224,1.8239678538632598,4.411336631278344,1.2744201576718597,8.60785069676093,8.607850696760933,14.07608113931359,14.076081139313578,10.968308672224863,10.968308672224854,-0.12370748625567098,-0.10253817373359099,-0.10747985023772455,-0.08425272635086285,-0.04804928875409038,-0.032142084147370985,0.0
3,4.309828720481541,7.342983814059459,10.87952597378489,6.64647091781893,5.4258651379347,2.86703547713695,8.530758266178836,8.53075826617883,11.993562217127293,11.993562217127275,7.178853367119422,7.178853367119415,-0.2521312467693374,-0.20574408768946087,-0.15053918049531248,-0.12840121688976325,-0.047460072690333165,-0.06918228060989784,0.0
4,2.249383178273879,-17.81882482009364,4.3929573633903765,-17.130803438116416,1.4431246348950868,-6.312463687486389,8.384122349400371,8.384122349400384,9.821017122624571,9.821017122624609,4.656112040921949,4.656112040921965,-0.41980024689176737,-0.3655097218257537,-0.17967046196996445,-0.192679010689533,-0.018394735405094433,-0.06306183167406286,0.0
5,8.15414985193097,-13.103856688252687,6.289182578655705,-6.238245642608669,1.555840676011539,-1.295335013081673,8.090064315128224,8.090064315128217,7.863627061043724,7.863627061043718,3.043392290096003,3.0433922900960004,-0.6026691650621261,-0.5932499655117561,-0.17873909858879627,-0.2631628094462377,0.019501695256039196,-0.0635011446150211,0.0
6,-0.3468489068341061,-9.68987804876341,-2.011637902320615,-1.2011194782577626,-0.9967243835264159,0.32132802316225995,7.829929145369895,7.829929145369895,6.31263668646135,6.312636686461357,2.054949572904095,2.0549495729040945,-0.7634987425611718,-0.880896107606937,-0.14288236949188393,-0.3122114469110141,0.0343675592125874,-0.05311368651647903,0.0
7,2.067689327244831,-3.1813151628586986,-0.3724608642028233,3.1330274251433465,-0.41082932454876975,1.2133253663944905,7.647380335232123,7.64738033523212,5.550403966760491,5.550403966760487,1.5936046127402972,1.593604612740293,-0.891093271734807,-1.219247551018611,-0.11392100322579564,-0.3644046333705951,0.021898737864908913,-0.050526347717113534,0.0
8,8.635109107736742,-5.6991043973047795,2.6460186359981477,1.0973150413302726,0.27159469875365794,0.5458509739307904,7.376770273375593,7.376770273375594,4.619381725853846,4.619381725853847,1.161330714355322,1.1613307143553198,-0.9859673646266752,-1.6104405978139935,-0.07499247159513897,-0.41924141030914874,0.027604915539427392,-0.06611683461795026,0.0
9,1.8470627044618433,-7.250225438604893,-1.1959389903618685,0.2401542806863901,-0.46222100776083397,0.2829591907706872,7.15609889331607,7.1560988933161,3.978116290681714,3.978116290681741,0.893953222144447,0.893953222144451,-1.0446066038296826,-2.057006573059158,-0.040049781021148444,-0.47060170259756273,0.04138559393467077,-0.03894775155049032,0.0
