t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,reset
0,-2.1670182565878946,0.8035816878413359,-1.0871148159089021,0.40312791827647715,1.2994520105795921,1.2994520105795921,22.500061004102527,22.500061004102527,-2.7982999560732624,2.495500836056697,0.0
1,-8.578655899542342,5.784699970663897,-6.402617517179953,4.973362836893608,1.2978638212862448,1.2978638212862448,2.588278360868183,2.588278360868183,-6.95845000723085,7.089476400502884,0.0
2,-6.046054667185693,3.5009091450879737,1.5256930708898757,-1.4659835108822534,1.232757710652878,1.232757710652878,2.454131929300281,2.454131929300281,-3.6421476236560664,2.7357353880300677,0.0
3,-7.46642287780156,5.309670284071236,-1.159580588293708,1.5188782107794916,1.2259160461662253,1.2259160461662253,2.448519261914731,2.448519261914731,-7.944412907957032,4.811185419562348,0.0
4,-13.295150085678488,4.033512816827407,-5.413789442793498,-1.0277682106924968,1.2259083237378232,1.2259083237378232,2.4447156238229932,2.4447156238229932,-12.220525589466146,5.06640794433689,0.0
5,-14.228402595195377,5.213458620952046,-1.331823511869775,0.9835562193721961,1.2258096137584042,1.2258096137584042,2.4446097694943414,2.4446097694943414,-14.703881932926178,4.586274428907278,0.0
6,-16.06055293216308,4.315449127671512,-1.7876603755170493,-0.7306972848927253,1.2258022648575673,1.2258022648575673,2.4445956802985305,2.4445956802985305,-16.15211559659912,6.872761050881561,0.0
7,-15.147094665367105,6.3056748784128125,0.67326623646461,1.748272650989757,1.2258021810452666,1.2258021810452666,2.444590544828374,2.444590544828374,-13.832183906470597,4.992499124836722,0.0
8,-13.28351312751146,7.416050207029894,1.757734911310668,1.1670991895775489,1.2258020315396851,1.2258020315396851,2.444590473319374,2.444590473319374,-13.652984369915853,7.336769466777593,0.0
9,-10.511307582158183,7.717731239455189,2.681995631102652,0.3786367324010904,1.2258020243760734,1.2258020243760734,2.4445904439556863,2.4445904439556863,-11.862097084220135,8.798835228662893,0.0
10,-13.2970503798138,4.743314032499219,-2.2995343123937304,-2.67625311258717,1.2258020240698602,1.2258020240698602,2.4445904373894245,2.4445904373894245,-12.592015874836301,4.315895269644647,0.0
11,-13.428726906677793,6.172983104226127,-0.32444925406792513,1.0645575674388463,1.225802023856031,1.225802023856031,2.4445904373593788,2.4445904373593788,-14.740231677715446,4.541132507685075,0.0
12,-10.399067428603685,4.192933191643695,2.7314015888436467,-1.7093138473426812,1.2258020238499283,1.2258020238499283,2.444590437305106,2.444590437305106,-10.75759449253121,5.836595142707685,0.0
13,-12.790116025510887,2.455296606885608,-1.9355442283315938,-1.7351180379387103,1.225802023849152,1.225802023849152,2.44459043729719,2.44459043729719,-13.811171570085786,1.741144035436542,0.0
14,-15.062898497757503,2.58286379560769,-2.2427941877766795,-0.038068635396160344,1.2258020238488623,1.2258020238488623,2.4445904372971876,2.4445904372971876,-15.852574598542805,4.948826240646859,0.0
15,-13.23333597098543,3.6441130151339003,1.4674357697318787,0.963494421097769,1.225802023848858,1.225802023848858,2.444590437297096,2.444590437297096,-13.605389971570768,4.351322158241469,0.0
16,-12.45818231117463,1.4755345371459798,0.8367135606237759,-1.890064712799465,1.2258020238488565,1.2258020238488565,2.444590437297087,2.444590437297087,-13.62644335710143,0.7420082109315849,0.0
17,-13.860745343468443,-2.790440951678945,-1.2034395203941033,-4.054702035970159,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-13.354761102954658,-1.2539671770348833,0.0
18,-16.10072288281451,-2.0315757836911494,-2.1478053212270147,0.3308276448658569,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-16.119508047609322,-0.1538179122334613,0.0
19,-13.463004606141766,-2.987775362932835,2.212174479132675,-0.8417530738008723,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-12.167461975871886,-0.96994478756789,0.0
