t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,reset
0,-1.2197553582801812,-1.9032054180459468,1.2989028904948479,1.2989028904948479,0.002838375271999815,-0.00205566008198988,-0.0016754122937967574,-0.011675310593019423,0.0
1,-1.638807318118823,-1.5656002162411822,0.9188636282717785,0.9188636282717785,0.013389457733820815,-0.010131350242010942,0.017156563933782197,-0.010083745367225106,0.0
2,-0.5499445933929796,-1.7108600257311586,0.7503792308916916,0.7503792308916916,0.021508493735682317,-0.018652223036069823,0.006711884076248726,-0.009659431796283634,0.0
3,-0.30233656791536573,-1.0035110117730284,0.6499267168705969,0.6499267168705969,0.03457478836390608,-0.03128175669550177,0.014435689487890178,-0.019129349111556553,0.0
4,-0.12048469490142807,-0.968543057412355,0.5813775295566407,0.5813775295566407,0.04945878542647176,-0.0483587920719497,0.019863301302351585,-0.013584926680986787,0.0
5,0.020322805543681682,-0.7958831745724779,0.530784814265585,0.530784814265585,0.05441438324923101,-0.06025380083459537,-0.0019681591581681215,-0.01125857137157591,0.0
6,-0.08380458425632731,-0.5124474498071991,0.4914740471816289,0.4914740471816289,0.0451902951497857,-0.07647088311601144,-0.016829737242805443,-0.015748337094684678,0.0
7,0.008596645438822756,-0.43658938269747743,0.45979689913239197,0.45979689913239197,0.025771523835154346,-0.09173822747929748,-0.024193807005656476,-0.0033456476187439955,0.0
8,-0.17804522082965513,-0.4016286298489742,0.43356862297724774,0.43356862297724774,0.00855004443269318,-0.09388239745210057,-0.007323317681304849,-0.001963384661362531,0.0
9,-0.3651380688298712,-0.3201513845228134,0.4113904831441804,0.4113904831441804,0.010202566670227156,-0.0943216216585085,0.0003816530795320225,0.001930845903698031,0.0
10,-0.2853376885422378,-0.19449701178427273,0.39231993658220377,0.39231993658220377,0.019028206688548252,-0.10102908689114426,0.015457761064579783,-0.0003107221988643523,0.0
11,-0.22773775277199598,-0.3393705292372289,0.37569558351625115,0.37569558351625115,0.04057153923255703,-0.10389110203297097,0.015262487675337503,-0.007865628744829989,0.0
12,-0.13175562378725958,-0.38279193576244985,0.3610377838284224,0.3610377838284224,0.058696532262280714,-0.1110855805321814,0.02416355238830603,-0.013551308917827269,0.0
13,-0.18089167403125284,-0.2037480521853626,0.34798909426533237,0.34798909426533237,0.07856998283673673,-0.12550709917915676,0.014903970454393196,-0.006841686179880543,0.0
14,-0.35023634428736977,-0.28602008190104905,0.3362769471830169,0.3362769471830169,0.08580788199821551,-0.14087591297891072,0.0007473797998708512,-0.018734467648050316,0.0
15,-0.19433924162239022,-0.09535066254358768,0.32568937793470065,0.32568937793470065,0.08962614609957543,-0.15417636710749483,0.014624987466161591,-0.008565546288793647,0.0
16,-0.11893946393977375,-0.011903536582371033,0.3160587306813236,0.3160587306813236,0.10791101266546017,-0.1620725577205466,0.017338438193876694,-0.005805184964634147,0.0
17,-0.10133936170808444,-0.008379554422449273,0.3072504176612165,0.3072504176612165,0.1255183591223302,-0.16716958302936535,0.02426685006441123,-0.00024919999641426563,0.0
18,0.03183806740299086,0.02635503837881984,0.29915497832974697,0.29915497832974697,0.1388968570897656,-0.17171818010216558,0.009308870007469387,-0.007085605501236806,0.0
19,-0.09574551134281606,-0.10280641077523983,0.2916823513958332,0.2916823513958332,0.15475944612278164,-0.16669766778216016,0.022831550514783975,0.014776551466849027,0.0
20,-0.10496719232231008,-0.07269097486098461,0.28475766602803115,0.28475766602803115,0.18128385426298382,-0.14637019574293383,0.02537955115211932,0.031036266304614177,0.0
21,-0.0527481575825574,0.06390772946196557,0.27831809791668083,0.27831809791668083,0.20519769779247235,-0.12172210622527865,0.023450796750605265,0.019902340137451676,0.0
22,-0.007065010684445747,0.13065129209377313,0.27231048576297917,0.27231048576297917,0.22515029327047814,-0.09461231768651612,0.020860944629586573,0.027158898958927095,0.0
23,-0.0511619816907932,0.18376390103344248,0.2666894999652382,0.2666894999652382,0.2349030348708243,-0.0625669479946627,0.008848512234211875,0.028927073109649287,0.0
24,-0.16462233564610165,0.19630302040465092,0.2614162184103313,0.2614162184103313,0.24777202281285093,-0.03905144154421422,0.01392477150462401,0.022528328239998712,0.0
25,-0.18913804461421296,0.20814335224812444,0.25645700656105513,0.25645700656105513,0.26169500458052636,-0.02314364544248508,0.013969476027168215,0.018500404219321268,0.0
26,-0.21723315351553776,0.08847086847955649,0.251782627869347,0.251782627869347,0.2738147231355643,-0.006028888974066154,0.012900216624745579,0.012993038267260018,0.0
27,-0.21485121662561316,0.10145110473668958,0.24736753054614385,0.24736753054614385,0.2869016889252293,0.018663448065087556,0.012581698429888493,0.04261046373934676,0.0
28,-0.22864761000002656,0.06124848479154648,0.24318927080332556,0.24318927080332556,0.31110625538855763,0.0748574568784886,0.025111616143831783,0.06518983436612007,0.0
29,-0.2094632441638086,0.0775854621619064,0.2392280427418479,0.2392280427418479,0.34222927659118957,0.1481205139244223,0.03283319522644729,0.07737625744028524,0.0
30,-0.18090638731261802,0.12282456741427959,0.2354662923372387,0.2354662923372387,0.37182281945719853,0.21628358691479466,0.02848932201744312,0.061423869591564206,0.0
31,-0.19578058310376392,0.11710639488165088,0.23188839830177144,0.23188839830177144,0.40173793107077066,0.27941316468475175,0.03094991658711433,0.05941219817332068,0.0
32,-0.21442825200553411,0.08359976413626813,0.22848040654740845,0.22848040654740845,0.4353814813477541,0.3399239813192316,0.03411226228214452,0.04623556006836674,0.0
