t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,reset
0,-2.1652233427342007,0.8029160912780876,1.2989137392511636,1.2989137392511636,-2.7982999560732624,2.495500836056697,0.0
1,-7.7837433468551165,5.168505381471489,1.2151109262210433,1.2151109262210433,-6.95845000723085,7.089476400502884,0.0
2,-5.396277074233074,3.006053486769778,1.2137043203506137,1.2137043203506137,-3.6421476236560664,2.7357353880300677,0.0
3,-7.520369884673766,5.36931362229755,1.2136811264417326,1.2136811264417326,-7.944412907957032,4.811185419562348,0.0
4,-13.060519384683687,3.9016406835684125,1.2136807441116153,1.2136807441116153,-12.220525589466146,5.06640794433689,0.0
5,-13.591429483601374,5.285010019361208,1.21368073780929,1.21368073780929,-14.703881932926178,4.586274428907278,0.0
6,-15.797932985101804,4.235385139135091,1.2136807377054024,1.2136807377054024,-16.15211559659912,6.872761050881561,0.0
7,-14.937015546008249,6.335663605350393,1.21368073770369,1.21368073770369,-13.832183906470597,4.992499124836722,0.0
8,-13.366406090917511,7.207993036776292,1.2136807377036618,1.2136807377036618,-13.652984369915853,7.336769466777593,0.0
9,-10.767589654463405,7.558205614336744,1.2136807377036614,1.2136807377036614,-11.862097084220135,8.798835228662893,0.0
10,-13.566695485530953,4.740204547463687,1.2136807377036614,1.2136807377036614,-12.592015874836301,4.315895269644647,0.0
11,-13.210771015994363,6.435387005414313,1.2136807377036614,1.2136807377036614,-14.740231677715446,4.541132507685075,0.0
12,-10.39543396841826,4.149859909970594,1.2136807377036614,1.2136807377036614,-10.75759449253121,5.836595142707685,0.0
13,-13.039528783545766,2.6697825672000666,1.2136807377036614,1.2136807377036614,-13.811171570085786,1.741144035436542,0.0
14,-14.839779557653593,2.7965173989762047,1.2136807377036614,1.2136807377036614,-15.852574598542805,4.948826240646859,0.0
15,-12.996877850464998,3.654798014723282,1.2136807377036614,1.2136807377036614,-13.605389971570768,4.351322158241469,0.0
16,-12.602604001140845,1.414839808932277,1.2136807377036614,1.2136807377036614,-13.62644335710143,0.7420082109315849,0.0
17,-13.942646274625284,-2.5088123294943006,1.2136807377036614,1.2136807377036614,-13.354761102954658,-1.2539671770348833,0.0
18,-15.936330403824234,-1.5695611670951046,1.2136807377036614,1.2136807377036614,-16.119508047609322,-0.1538179122334613,0.0
19,-13.26031649392938,-2.9456047002997714,1.2136807377036614,1.2136807377036614,-12.167461975871886,-0.96994478756789,0.0
20,-16.95887178999586,0.09529110641643479,1.2136807377036614,1.2136807377036614,-16.994380401701747,-0.43122768076139073,0.0
21,-13.8471599691595,0.07697614459735982,1.2136807377036614,1.2136807377036614,-14.50868351661833,-2.3304238587900508,0.0
22,-14.577268768251507,-6.080819258165081,1.2136807377036614,1.2136807377036614,-15.678848949461186,-8.386166381123052,0.0
23,-17.21854014733921,-5.925260397226162,1.2136807377036614,1.2136807377036614,-16.508547443455992,-7.534371794240623,0.0
24,-19.089107300479164,-2.268880195696257,1.2136807377036614,1.2136807377036614,-19.455422547214507,-2.501603854896958,0.0
25,-23.90957677890755,-3.692899040357182,1.2136807377036614,1.2136807377036614,-23.917942775804697,-2.4278001700559373,0.0
26,-22.552138610526924,-0.3983959010474427,1.2136807377036614,1.2136807377036614,-23.672763328731058,2.1539403887863657,0.0
27,-27.97207950906724,1.367876329161129,1.2136807377036614,1.2136807377036614,-29.966267714821686,1.2398484073098217,0.0
28,-28.594812963846593,3.57484446616096,1.2136807377036614,1.2136807377036614,-30.662635586357045,3.1233568318609963,0.0
29,-29.45647679331739,5.307003783623775,1.2136807377036614,1.2136807377036614,-29.012762867467618,5.700500117310463,0.0
30,-28.62954547120885,8.920984601386115,1.2136807377036614,1.2136807377036614,-27.7060508102804,8.234739498370892,0.0
