t,x1_100,x2_100,x1_995,x2_995,x1_975,x2_975,x1_950,x2_950
0,1.05536709383765,0.9596707055235045,1.0553710558968734,0.9596743067710009,1.0553869044311457,0.9596887120312807,1.0554067157681106,0.9597067192148212
1,1.2022308059551086,1.0791068117225275,1.202238571874802,1.0791143006128463,1.2022693557971633,1.0791439863618213,1.2023072059287445,1.0791804861447034
2,1.248241588820842,1.191772686760212,1.2482835292784045,1.1918119548254238,1.2484481258569686,1.1919660598052229,1.2486467617813082,1.1921520269862764
3,1.2570915220398133,1.2172186964639782,1.2571159518693469,1.217362778570475,1.257217395962877,1.2179404747878493,1.257352564459334,1.2186655064234424
4,1.257550087422352,1.2201116577134998,1.257540306705362,1.2203256823990656,1.257518813184912,1.2211944355866964,1.2575310794767907,1.2223081459396588
5,1.2356179386087067,1.2172941525578502,1.2355908889184024,1.2174968978372238,1.2355253896861298,1.2183345685385663,1.235537672348015,1.2194395084874419
6,1.2119370109883782,1.1950657384174093,1.2119526031790981,1.1952862472917933,1.2120810729297462,1.1962248447783275,1.212385339946416,1.1975206793259705
7,1.1955968680567626,1.1735442031270744,1.1957117130542023,1.1738965967602604,1.1962685864275828,1.1753825499290809,1.1971749404204433,1.177401781994147
8,1.1766862071493214,1.1645235761601012,1.1768113105092879,1.1650016026154495,1.1774370447822475,1.167012983642274,1.178487839538581,1.1697367550876236
9,1.1566545577479708,1.1533527772386167,1.1568714716291553,1.1538070927916961,1.1578987689145015,1.1557367470418194,1.159522621014648,1.1583847589249232
10,1.1333098750196853,1.1365889728676892,1.133517887914194,1.136952156940328,1.1345439652131906,1.1385435016741834,1.1362378882735142,1.140824942697304
11,1.1310276016382266,1.1228744828244297,1.131360925897054,1.123213730530126,1.1329156804151364,1.1247465787660267,1.1353230524274116,1.1270346420082513
12,1.1229226278779552,1.1079710662704838,1.1232401004997454,1.1083030119589619,1.1247478450385784,1.1098650079812002,1.1271247711133534,1.1123148462187196
13,1.1084746574289999,1.0927072857210431,1.108760009019032,1.09301201239459,1.1101820928775572,1.0945201199023304,1.1125416384726425,1.097015871348135
14,1.0970944071302595,1.0805388609520135,1.0973765417907415,1.0808626493486166,1.098826567890579,1.0824997249526571,1.10130270143447,1.0852633863691026
15,1.0873060512912844,1.069048210471407,1.0876579602760763,1.0693817185005858,1.0894417997438943,1.0710947156762762,1.0924442693937428,1.0740228892761712
16,1.077733081098161,1.0603240539578442,1.0781268718625943,1.0606743098730305,1.0801203706562565,1.0624889207779178,1.0834622532266251,1.0656088476906815
17,1.0661616223469117,1.0496039844674219,1.066587092996609,1.0499235252178778,1.0687437109250681,1.0516562345354254,1.0723555011047194,1.0547566002866793
18,1.0552614088712056,1.0389935843779474,1.055718801629213,1.0392890511732298,1.05804875140964,1.0409646811079225,1.0619632891009763,1.0440720924257096
19,1.0453429829093028,1.0266613256602481,1.0458265922097352,1.0270077627144787,1.0482936492842045,1.028943326131794,1.0524348438674946,1.032488464404392
20,1.0341570702216467,1.0160066366069895,1.0346555827450898,1.0164187564728568,1.0372237112080045,1.018664835045376,1.041570170106676,1.0226876788709784
21,1.0225151540873054,1.005379241522498,1.0230309095917678,1.0058297742561466,1.0257145026995687,1.0082760414631387,1.030294384917007,1.0126362288795265
22,1.0115758905234893,0.993385683283433,1.0121260730097363,0.9938681533383324,1.014984918100485,0.9964772656188408,1.0198542771657302,1.0011000428228174
23,1.0005997827346447,0.9841846186771472,1.0011708269294468,0.9847495451901179,1.0041567970844036,0.9877346420330224,1.009267425949461,0.9929130601262127
24,0.992055088129366,0.9747691873956242,0.9926561368819516,0.9753633143217432,0.9958007829688996,0.9784941046638642,1.0011820896263985,0.9839049849498462
25,0.9844760372571906,0.9648061260041179,0.9850772743090599,0.9653935082645065,0.9882489732271621,0.9685257172040781,0.9937086342822086,0.9739927875204917
26,0.9796548022297629,0.9558190822659387,0.9802296081473207,0.956434558532466,0.9833298951780698,0.9597158741805258,0.9887701587393737,0.9654422006979285
27,0.9735866534509512,0.9478541221412157,0.9740907847853131,0.9485356660001841,0.9769413778427323,0.9521226040601676,0.982136789769298,0.9583097031112753
28,0.9679114677867799,0.9404273165482632,0.9683545693383163,0.9411198180611733,0.9710060333138046,0.9447764784515595,0.9760472645988267,0.9510973767990252
